trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
18	A	ljt_019a	pv_019	get off	acceptable	acceptable	got off	The children got off the train at the last stop.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
19	A	ljt_004b	pv_004	put in	unacceptable	unacceptable	put in	She put in three hours but spent no time on the report.	devote time or effort	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction
20	A	ljt_006b	pv_006	sit back	unacceptable	unacceptable	sat back	The mayor sat back while he personally led the response.	take no action	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: literal reading risk reduced
21	A	ljt_010b	pv_010	come along	unacceptable	unacceptable	came along	A better chance came along, although nothing new appeared.	appear or arrive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: removed inanimate-subject alternative
22	A	ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	Her years of practice paid off by making her lose every match.	become successful or beneficial	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained
23	A	ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	He took out a loan but borrowed no money.	obtain an official service or document	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with service contradiction
24	A	ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	She moved up to a junior role last year.	advance to a higher position	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced impossible complement with status mismatch
25	A	ljt_001a	pv_001	break off	acceptable	acceptable	broke off	After weeks of argument, the union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
26	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The teacher pointed out the error but never mentioned it.	draw attention to information	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced odd object with attention contradiction
27	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the keys but kept them in his pocket.	give control or possession to someone	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction
28	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the main claim by contradicting it.	support with evidence	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced physical object with evidence contradiction
29	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The officer turned over the files to the court but kept them locked in his desk.	give control or possession to an authority	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction
30	A	ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The office ran out of paper before noon.	use all of something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
31	A	ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The final paragraph summed up the argument.	summarize the main points	none	S&AW_PHaVE	candidate for expert review; carried forward to v2
32	A	ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	He turned up late for the meeting, but he never arrived.	arrive or appear	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: online-meeting ambiguity reduced
33	A	ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	They put up posters but left them in the box.	display or attach something	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with display contradiction
34	A	ljt_033a	pv_033	look out	acceptable	acceptable	looked out	She looked out at the garden.	look outside	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
35	A	ljt_025a	pv_025	clean up	acceptable	acceptable	cleaned up	The editor cleaned up the rude comments.	remove unacceptable content or behavior	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
36	A	ljt_038b	pv_038	come on	unacceptable	unacceptable	come on	Oh, come on, that is exactly right.	express disbelief or disagreement	discourse_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: requires sincere agreement prosody in audio
37	A	ljt_015a	pv_015	put on	acceptable	acceptable	put on	The school put on a play for the visitors.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
38	A	ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	Her clear answer stood out in the interview.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
39	A	ljt_009a	pv_009	get on	acceptable	acceptable	got on	The tourists got on the bus near the station.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
40	A	ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about major changes.	cause something to happen	none	S&AW_PHaVE	candidate for expert review; carried forward to v2
41	A	ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in an expert to solve the problem.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
42	A	ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The evidence ruled out a simple explanation.	exclude a possibility	none	S&AW_PHaVE	candidate for expert review; carried forward to v2
43	A	ljt_035a	pv_035	look back	acceptable	acceptable	looked back	Years later, they looked back on the decision.	think about a past event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
44	A	ljt_003a	pv_003	give out	acceptable	acceptable	gave out	After the long climb, his knees finally gave out.	stop working properly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
45	A	ljt_037a	pv_037	go down	acceptable	acceptable	went down	The price went down from ten dollars to five.	decrease	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
46	A	ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The truth came out but remained completely secret.	become known or revealed	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained
47	A	ljt_005a	pv_005	take in	acceptable	acceptable	take in	The lecture was too fast to take in.	understand fully	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2
48	A	ljt_036b	pv_036	go up	unacceptable	unacceptable	went up	The price went up from ten dollars to five.	increase	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: directional mismatch retained
