trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
11	main	aural_pv_ljt	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from the risky plan by investing more money.	pulled back	rec_ljt_v4_ljt_012b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
12	main	aural_pv_ljt	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the survey in three schools but never collected any data.	carried out	rec_ljt_v4_ljt_042b.wav	v4 pre-audio review: replaced collocational near-miss with task-completion contradiction
13	main	aural_pv_ljt	A	ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in to help with the problem and joined the project.	came in	rec_ljt_v4_ljt_039a.wav	v3 BERT review: made come in acceptable context parallel
14	main	aural_pv_ljt	A	ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign in the dark.	make out	rec_ljt_v4_ljt_017a.wav	candidate for expert review; carried forward to v2; carried forward to v3
15	main	aural_pv_ljt	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the rules, but no rules were explained.	set out	rec_ljt_v4_ljt_026b.wav	revised after expert review: replaced odd object with explanation contradiction; carried forward to v3
16	main	aural_pv_ljt	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the answer but never tried to solve it.	worked out	rec_ljt_v4_ljt_048b.wav	v4 pre-audio review: replaced copying method with solution-process contradiction
17	main	aural_pv_ljt	A	ljt_031a	pv_031	turn around	acceptable	acceptable	The new coach turned around the team.	turned around	rec_ljt_v4_ljt_031a.wav	candidate for expert review; carried forward to v2; carried forward to v3
18	main	aural_pv_ljt	A	ljt_046b	pv_046	follow up	unacceptable	unacceptable	The doctor followed up the test with no further action.	followed up	rec_ljt_v4_ljt_046b.wav	revised after expert review: replaced cloud with action contradiction; carried forward to v3
19	main	aural_pv_ljt	A	ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the task into steps.	broke down	rec_ljt_v4_ljt_027a.wav	candidate for expert review; carried forward to v2; carried forward to v3
20	main	aural_pv_ljt	A	ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out by ignoring every message.	reached out	rec_ljt_v4_ljt_028b.wav	reviewed: contradiction retained; carried forward to v3
21	main	aural_pv_ljt	A	ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	rec_ljt_v4_ljt_021a.wav	candidate for expert review; carried forward to v2; carried forward to v3
22	main	aural_pv_ljt	A	ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a warning but told no one about it.	put out	rec_ljt_v4_ljt_024b.wav	revised after expert review: replaced odd object with publicity contradiction; carried forward to v3
23	main	aural_pv_ljt	A	ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the young players, so they improved slowly.	held back	rec_ljt_v4_ljt_007a.wav	v4 pre-audio review: added outcome cue for target meaning
24	main	aural_pv_ljt	A	ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train at the last stop.	got off	rec_ljt_v4_ljt_019a.wav	candidate for expert review; carried forward to v2; carried forward to v3
25	main	aural_pv_ljt	A	ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in three hours on the report but spent no time on it.	put in	rec_ljt_v4_ljt_004b.wav	v4 pre-audio review: made effort object explicit and context parallel
26	main	aural_pv_ljt	A	ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back while he personally led the response.	sat back	rec_ljt_v4_ljt_006b.wav	revised after expert review: literal reading risk reduced; carried forward to v3
27	main	aural_pv_ljt	A	ljt_010b	pv_010	come along	unacceptable	unacceptable	A better chance came along, although nothing new appeared.	came along	rec_ljt_v4_ljt_010b.wav	revised after expert review: removed inanimate-subject alternative; carried forward to v3
28	main	aural_pv_ljt	A	ljt_018b	pv_018	pay off	unacceptable	unacceptable	Her years of practice paid off by making her lose every match.	paid off	rec_ljt_v4_ljt_018b.wav	reviewed: contradiction retained; carried forward to v3
29	main	aural_pv_ljt	A	ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a loan but borrowed no money.	took out	rec_ljt_v4_ljt_034b.wav	revised after expert review: replaced odd object with service contradiction; carried forward to v3
30	main	aural_pv_ljt	A	ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to a junior role last year.	moved up	rec_ljt_v4_ljt_008b.wav	revised after expert review: replaced impossible complement with status mismatch; carried forward to v3
31	main	aural_pv_ljt	A	ljt_001a	pv_001	break off	acceptable	acceptable	After weeks of argument, the union broke off the talks.	broke off	rec_ljt_v4_ljt_001a.wav	candidate for expert review; carried forward to v2; carried forward to v3
32	main	aural_pv_ljt	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	The teacher pointed out the error but never mentioned it.	pointed out	rec_ljt_v4_ljt_044b.wav	revised after expert review: replaced odd object with attention contradiction; carried forward to v3
33	main	aural_pv_ljt	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the keys but kept them in his pocket.	handed over	rec_ljt_v4_ljt_002b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
34	main	aural_pv_ljt	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the main claim by contradicting it.	backed up	rec_ljt_v4_ljt_032b.wav	revised after expert review: replaced physical object with evidence contradiction; carried forward to v3
35	main	aural_pv_ljt	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the files to the court but kept them locked in his desk.	turned over	rec_ljt_v4_ljt_014b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
36	main	aural_pv_ljt	A	ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper before noon.	ran out	rec_ljt_v4_ljt_013a.wav	candidate for expert review; carried forward to v2; carried forward to v3
37	main	aural_pv_ljt	A	ljt_045a	pv_045	sum up	acceptable	acceptable	The final paragraph summed up the argument.	summed up	rec_ljt_v4_ljt_045a.wav	candidate for expert review; carried forward to v2; carried forward to v3
38	main	aural_pv_ljt	A	ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up late for the meeting, but he never arrived.	turned up	rec_ljt_v4_ljt_020b.wav	revised after expert review: online-meeting ambiguity reduced; carried forward to v3
39	main	aural_pv_ljt	A	ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up posters but left them in the box.	put up	rec_ljt_v4_ljt_030b.wav	revised after expert review: replaced odd object with display contradiction; carried forward to v3
40	main	aural_pv_ljt	A	ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	rec_ljt_v4_ljt_033a.wav	candidate for expert review; carried forward to v2; carried forward to v3
41	main	aural_pv_ljt	A	ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the rude comments.	cleaned up	rec_ljt_v4_ljt_025a.wav	candidate for expert review; carried forward to v2; carried forward to v3
42	main	aural_pv_ljt	A	ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, that is exactly right.	come on	rec_ljt_v4_ljt_038b.wav	revised after expert review: requires sincere agreement prosody in audio; carried forward to v3
43	main	aural_pv_ljt	A	ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a play for the visitors.	put on	rec_ljt_v4_ljt_015a.wav	candidate for expert review; carried forward to v2; carried forward to v3
44	main	aural_pv_ljt	A	ljt_011a	pv_011	stand out	acceptable	acceptable	Her clear answer stood out in the interview.	stood out	rec_ljt_v4_ljt_011a.wav	candidate for expert review; carried forward to v2; carried forward to v3
45	main	aural_pv_ljt	A	ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus near the station.	got on	rec_ljt_v4_ljt_009a.wav	candidate for expert review; carried forward to v2; carried forward to v3
46	main	aural_pv_ljt	A	ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major changes.	brought about	rec_ljt_v4_ljt_041a.wav	candidate for expert review; carried forward to v2; carried forward to v3
47	main	aural_pv_ljt	A	ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert to solve the problem.	brought in	rec_ljt_v4_ljt_023a.wav	candidate for expert review; carried forward to v2; carried forward to v3
48	main	aural_pv_ljt	A	ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out a simple explanation.	ruled out	rec_ljt_v4_ljt_043a.wav	candidate for expert review; carried forward to v2; carried forward to v3
49	main	aural_pv_ljt	A	ljt_035a	pv_035	look back	acceptable	acceptable	Years later, they looked back on the decision.	looked back	rec_ljt_v4_ljt_035a.wav	candidate for expert review; carried forward to v2; carried forward to v3
50	main	aural_pv_ljt	A	ljt_003a	pv_003	give out	acceptable	acceptable	After the long climb, his knees finally gave out.	gave out	rec_ljt_v4_ljt_003a.wav	candidate for expert review; carried forward to v2; carried forward to v3
51	main	aural_pv_ljt	A	ljt_037a	pv_037	go down	acceptable	acceptable	The price went down from ten dollars to five.	went down	rec_ljt_v4_ljt_037a.wav	candidate for expert review; carried forward to v2; carried forward to v3
52	main	aural_pv_ljt	A	ljt_040b	pv_040	come out	unacceptable	unacceptable	The truth came out during the trial but remained completely secret.	came out	rec_ljt_v4_ljt_040b.wav	v3 BERT review: made context more parallel for come out
53	main	aural_pv_ljt	A	ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was too fast to take in.	take in	rec_ljt_v4_ljt_005a.wav	candidate for expert review; carried forward to v2; carried forward to v3
54	main	aural_pv_ljt	A	ljt_036b	pv_036	go up	unacceptable	unacceptable	The price went up from ten dollars to five.	went up	rec_ljt_v4_ljt_036b.wav	reviewed: directional mismatch retained; carried forward to v3
