pv_id	pv	v6_action	v6_pool_status	candidate_gate_status	acceptable_item_id	acceptable_sentence	unacceptable_item_id	unacceptable_sentence	acceptable_word_count	unacceptable_word_count	word_count_delta_unacceptable_minus_acceptable	acceptable_has_overt_cue	unacceptable_has_overt_cue	target_form_in_both	acceptable_naturalness_1_4	unacceptable_near_miss_1_4	pv_dependency_1_4	general_cue_risk_1_4	alternate_sense_risk_1_4	pair_rationale	critical_note
pv_020	turn up	revise	active_candidate	prelim_pass_native_review_required	ljt_020a	The witness turned up at court.	ljt_020b	The witness turned up at testimony.	6	6	0	false	false	true	4	3	3	2	2	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.	Arrival sense can work, but turn up also means increase volume and be found.
pv_022	cut off	revise	active_candidate	prelim_review_required	ljt_022a	The host cut off the caller abruptly.	ljt_022b	The host cut off the topic abruptly.	7	7	0	false	false	true	4	3	3	2	3	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.	Interruption sense can work with speaking contexts; avoid object-cutting/service-stop senses.
pv_023	bring in	revise	active_candidate	prelim_pass_native_review_required	ljt_023a	The firm brought in a consultant.	ljt_023b	The firm brought in a consultation.	6	6	0	false	false	true	4	3	3	2	2	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.	Recruit/ask-someone sense requires human role contexts; many abstractions can be brought in.
pv_026	set out	revise	active_candidate	prelim_pass_native_review_required	ljt_026a	The report set out the procedure.	ljt_026b	The report set out the appendix.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.	Explain/present-clearly sense can work in report/policy contexts; literal laying-out/travel senses compete.
pv_027	break down	revise	active_candidate	prelim_pass_native_review_required	ljt_027a	The coach broke down the play.	ljt_027b	The coach broke down the whistle.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.	Analysis/decomposition sense can work with problem/task contexts; avoid physical failure sense.
pv_028	reach out	revise	active_candidate	prelim_pass_native_review_required	ljt_028a	The nurse reached out to patients.	ljt_028b	The nurse reached out to symptoms.	6	6	0	false	false	true	4	3	3	2	1	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.	Communication/help sense can work with human/institutional recipients.
pv_030	put up	revise	reserve_needs_native_review	reserve_not_listed	ljt_030a	The crew put up the banner.	ljt_030b	The crew put up the brochure.	6	6	0	false	false	true	4	2	2	3	3	Both objects are display/publicity materials, but brochure remains too plausible in a posting context; keep as reserve pending native review.	Display/attach sense can work but must avoid build/tolerate/price-increase senses.
pv_031	turn around	revise	active_candidate	prelim_pass_native_review_required	ljt_031a	The coach turned around the season.	ljt_031b	The coach turned around the defeat.	6	6	0	false	false	true	4	3	3	2	2	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.	Improvement-after-problems sense can work with teams/companies if outcome words are controlled.
pv_032	back up	revise	active_candidate	prelim_pass_native_review_required	ljt_032a	The data backed up the conclusion.	ljt_032b	The data backed up the confusion.	6	6	0	false	false	true	4	3	3	2	2	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.	Evidence-support sense can work; computer copy/reverse senses must be suppressed.
pv_034	take out	revise	active_candidate	prelim_pass_native_review_required	ljt_034a	She took out a mortgage.	ljt_034b	She took out a receipt.	5	5	0	false	false	true	4	3	3	2	2	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.	Official-service sense can work with loans/policies; remove-from-container and social-date senses compete.
pv_040	come out	revise	active_candidate	prelim_review_required	ljt_040a	The secret came out during trial.	ljt_040b	The witness came out during trial.	6	6	0	false	false	true	4	3	3	2	3	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.	Reveal sense can work with information/truth/news contexts; avoid subject-category anomalies.
pv_041	bring about	revise	active_candidate	prelim_pass_native_review_required	ljt_041a	The reforms brought about change.	ljt_041b	The reforms brought about evidence.	5	5	0	false	false	true	4	3	3	2	2	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.	Causation sense can work in academic contexts if result nouns are controlled.
pv_042	carry out	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_042a	The researchers carried out the analysis.	ljt_042b	The researchers carried out the hypothesis.	6	6	0	false	false	true	4	4	4	1	1	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
pv_043	rule out	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_043a	The doctor ruled out infection.	ljt_043b	The doctor ruled out symptoms.	5	5	0	false	false	true	4	4	4	1	1	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.	Exclude-possibility sense is a strong academic candidate with manageable near-misses.
pv_044	point out	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_044a	The review pointed out the limitation.	ljt_044b	The review pointed out the appendix.	6	6	0	false	false	true	4	3	3	2	2	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.	Draw-attention sense is strong if both sentences keep human/author subjects.
pv_045	sum up	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_045a	The abstract summed up the study.	ljt_045b	The abstract summed up the heading.	6	6	0	false	false	true	4	4	4	1	1	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.	Summarize-content sense is strong if both conditions use text/content objects.
pv_046	follow up	revise	active_candidate	prelim_pass_native_review_required	ljt_046a	The doctor followed up after the treatment.	ljt_046b	The doctor followed up after the thermometer.	7	7	0	false	false	true	4	3	3	2	1	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.	Further-action sense can work with medical/research follow-up contexts.
pv_047	lay out	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_047a	The diagram laid out the process.	ljt_047b	The diagram laid out the footnote.	6	6	0	false	false	true	4	4	4	1	1	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.	Present/organize-information sense is strong, but literal arrangement sense must be avoided.
pv_048	work out	keep_revise_lightly	active_candidate	prelim_pass_native_review_required	ljt_048a	The students worked out the equation.	ljt_048b	The students worked out the pencil.	6	6	0	false	false	true	4	3	3	2	1	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	Solution/calculation sense is strong if both conditions involve problems or quantities.
