trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
15	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_037a	pv_037	shut down	acceptable	acceptable	The agency shut down the program.	shut down	rec_ljt_v4_multi_agent_cljt_037a.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_037 go down; candidate_id=rep_015; original_v6_action=replace_or_rewrite; Strong candidate; check whether reason is too obviously wrong.
16	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_024b	pv_024	bring out	unacceptable	unacceptable	The publisher brought out a revised appointment.	brought out	rec_ljt_v4_multi_agent_cljt_024b.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
17	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_001b	pv_001	break off	unacceptable	unacceptable	The union broke off concessions before arbitration.	broke off	rec_ljt_v4_multi_agent_cljt_001b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; improves talks/proposal pair by using negotiations/concessions to reduce alternate readings of breaking off a proposal.
18	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_041b	pv_041	bring about	unacceptable	unacceptable	The ruling brought about a transcript.	brought about	rec_ljt_v4_multi_agent_cljt_041b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; replaces generic reforms/change/evidence pair with a legal-domain event/record contrast.
19	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_025a	pv_025	throw out	acceptable	acceptable	The committee threw out the weak proposal.	threw out	rec_ljt_v4_multi_agent_cljt_025a.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
20	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_026a	pv_026	set out	acceptable	acceptable	The contract set out the payment terms.	set out	rec_ljt_v4_multi_agent_cljt_026a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=93; multi-agent synthesis v2; improves procedure/appendix pair with tighter same-domain payment contrast and low alternate-sense risk.
21	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_021b	pv_021	pass on	unacceptable	unacceptable	The director passed on the client's silence.	passed on	rec_ljt_v4_multi_agent_cljt_021b.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
22	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_032a	pv_032	back up	acceptable	acceptable	The results backed up the hypothesis.	backed up	rec_ljt_v4_multi_agent_cljt_032a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v2; replaces conclusion/confusion with a tighter research-internal claim/instrument contrast.
23	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_003b	pv_003	set up	unacceptable	unacceptable	The agency set up a review finding.	set up	rec_ljt_v4_multi_agent_cljt_003b.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
24	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_012a	pv_012	pull back	acceptable	acceptable	The investors pulled back from the funding round.	pulled back	rec_ljt_v4_multi_agent_cljt_012a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; improves project/approval pair with a tighter finance-deal near-miss.
25	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_028a	pv_028	reach out	acceptable	acceptable	The client reached out for legal advice.	reached out	rec_ljt_v4_multi_agent_cljt_028a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; replaces person/non-person recipient cue with a for-complement help-seeking contrast.
26	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_010b	pv_010	play out	unacceptable	unacceptable	The verdict played out over two weeks.	played out	rec_ljt_v4_multi_agent_cljt_010b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
27	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_044a	pv_044	bring down	acceptable	acceptable	The scandal brought down the minister.	brought down	rec_ljt_v4_multi_agent_cljt_044a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; replaces point out because the information-object frame accepts too many possible complements and is difficult to make selectively unacceptable.
28	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_004b	pv_004	take up	unacceptable	unacceptable	The committee took up the funding outcome.	took up	rec_ljt_v4_multi_agent_cljt_004b.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
29	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_020b	pv_020	break out	unacceptable	unacceptable	A settlement broke out during mediation.	broke out	rec_ljt_v4_multi_agent_cljt_020b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; replaces turn up because arrival/appearance sense is transparent and competes with increase/found readings.
30	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_002a	pv_002	hand over	acceptable	acceptable	The agency handed over the investigation to prosecutors.	handed over	rec_ljt_v4_multi_agent_cljt_002a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v3; moves from prisoner/arrest to investigation/verdict to reduce animacy and custody-specific cueing.
31	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_006b	pv_006	take on	unacceptable	unacceptable	The lawyer took on the difficult verdict.	took on	rec_ljt_v4_multi_agent_cljt_006b.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
32	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_005b	pv_005	put off	unacceptable	unacceptable	The board put off the final evidence.	put off	rec_ljt_v4_multi_agent_cljt_005b.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
33	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_009a	pv_009	get on	acceptable	acceptable	The researchers got on with the analysis.	got on	rec_ljt_v4_multi_agent_cljt_009a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; replaces transparent transport boarding sense with get-on-with task-continuation sense to improve C1 construct fit while retaining the original PV.
34	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_018b	pv_018	pay off	unacceptable	unacceptable	The firm paid off the forecast after restructuring.	paid off	rec_ljt_v4_multi_agent_cljt_018b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; retargets pay off from broad beneficial-success sense to debt-settlement sense for clearer C1 lexical-semantic dependency.
35	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_027b	pv_027	break down	unacceptable	unacceptable	The manager broke down the project deadline.	broke down	rec_ljt_v4_multi_agent_cljt_027b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; keeps original PV but replaces sports play/whistle with a stronger project-management near-miss.
36	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the equation.	worked out	rec_ljt_v4_multi_agent_cljt_048a.wav	quality_status=prelim_pass_native_review_required; review_score_100=85; v6-derived candidate; native review still required; Solution/calculation sense is strong if both conditions involve problems or quantities.
37	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_030a	pv_030	put up	acceptable	acceptable	The bidder put up the required deposit.	put up	rec_ljt_v4_multi_agent_cljt_030a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces banner/brochure display pair because put up a brochure is plausibly acceptable; security-money sense improves C1 construct fit.
38	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_013b	pv_013	run out	unacceptable	unacceptable	The inspection ran out during the audit.	ran out	rec_ljt_v4_multi_agent_cljt_013b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; retargets run out from resource depletion to expiry to reduce obvious stock/resource cueing.
39	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_007b	pv_007	give in	unacceptable	unacceptable	The company gave in to public policy.	gave in	rec_ljt_v4_multi_agent_cljt_007b.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
40	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_011b	pv_011	stand out	unacceptable	unacceptable	One bid stood out among invoices.	stood out	rec_ljt_v4_multi_agent_cljt_011b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v3; improves essay/pages by using a same-domain procurement comparison set.
41	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_046a	pv_046	follow up	acceptable	acceptable	The clinic followed up on the patient referral.	followed up	rec_ljt_v4_multi_agent_cljt_046a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; improves thermometer pair with a same-domain administrative near-miss, though native review should check breadth of follow up on.
42	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_014a	pv_014	turn over	acceptable	acceptable	The suspect turned over evidence to police.	turned over	rec_ljt_v4_multi_agent_cljt_014a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; keeps turn over but sharpens authority-transfer object contrast.
43	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_040a	pv_040	come out	acceptable	acceptable	The senator came out against the proposal.	came out	rec_ljt_v4_multi_agent_cljt_040a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces reveal-sense secret/witness pair because person subjects invite literal/social readings; stance frame makes the target sense clearer.
44	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_017b	pv_017	sort out	unacceptable	unacceptable	The mediator sorted out the scheduling forecast.	sorted out	rec_ljt_v4_multi_agent_cljt_017b.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
45	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_045b	pv_045	sum up	unacceptable	unacceptable	The abstract summed up the heading.	summed up	rec_ljt_v4_multi_agent_cljt_045b.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Summarize-content sense is strong if both conditions use text/content objects.
46	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_043b	pv_043	rule out	unacceptable	unacceptable	The doctor ruled out symptoms.	ruled out	rec_ljt_v4_multi_agent_cljt_043b.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Exclude-possibility sense is a strong academic candidate with manageable near-misses.
47	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_035a	pv_035	fill in	acceptable	acceptable	The consultant filled in for the project chair.	filled in	rec_ljt_v4_multi_agent_cljt_035a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces fill someone in on X frame because almost any topic can fit that frame; substitute-for sense gives cleaner acceptability contrast.
48	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_008b	pv_008	move up	unacceptable	unacceptable	The team moved up to last place.	moved up	rec_ljt_v4_multi_agent_cljt_008b.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
49	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_016a	pv_016	take back	acceptable	acceptable	The party took back the seat.	took back	rec_ljt_v4_multi_agent_cljt_016a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; replaces sports lead/loss with institutional election-domain contrast.
50	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_036a	pv_036	hold up	acceptable	acceptable	The appeal held up the construction permit.	held up	rec_ljt_v4_multi_agent_cljt_036a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces payment/receipt pair because receipt can also be delayed; appeal subject suppresses literal holding-up readings.
51	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_031b	pv_031	go through	unacceptable	unacceptable	The amendment went through the testimony.	went through	rec_ljt_v4_multi_agent_cljt_031b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; replaces turn around because improvement/reversal/work-speed readings remain hard to control in one short aural sentence.
52	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_047b	pv_047	lay out	unacceptable	unacceptable	The diagram laid out the footnote.	laid out	rec_ljt_v4_multi_agent_cljt_047b.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Present/organize-information sense is strong, but literal arrangement sense must be avoided.
53	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_022a	pv_022	cut off	acceptable	acceptable	The lender cut off the credit line.	cut off	rec_ljt_v4_multi_agent_cljt_022a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
54	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_039a	pv_039	take over	acceptable	acceptable	The deputy took over the project.	took over	rec_ljt_v4_multi_agent_cljt_039a.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_039 come in; candidate_id=rep_017; original_v6_action=replace_or_rewrite; Best current draft among replacements.
