trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
33	B	ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The children got off the deadline.	leave a vehicle	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
34	B	ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The teacher broke down the applause.	divide into smaller parts	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
35	B	ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the answer.	find or calculate a solution	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
36	B	ljt_035b	pv_035	look back	unacceptable	unacceptable	looked back	They looked back on the ceiling.	think about a past event	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
37	B	ljt_030a	pv_030	put up	acceptable	acceptable	put up	They put up posters downtown.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
38	B	ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The officer turned over the files.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
39	B	ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The tourists got on the lecture.	board a vehicle	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
40	B	ljt_007b	pv_007	hold back	unacceptable	unacceptable	held back	Extra support held back the players.	prevent progress or potential	cause_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
41	B	ljt_038a	pv_038	come on	acceptable	acceptable	come on	Oh, come on, that sounds impossible.	express disbelief or disagreement	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
42	B	ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the claim.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
43	B	ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the survey.	conduct or perform a task	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
44	B	ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about major furniture.	cause something to happen	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
45	B	ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The evidence ruled out that deadline.	exclude a possibility	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
46	B	ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The teacher pointed out the error.	draw attention to information	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
47	B	ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The nurse followed up after surgery.	take further action after something	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
48	B	ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	The hard work paid off eventually.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
