trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
15	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the hypothesis.	carried out	rec_ljt_v4_multi_agent_cljt_042b.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
16	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_001a	pv_001	break off	acceptable	acceptable	The union broke off negotiations before arbitration.	broke off	rec_ljt_v4_multi_agent_cljt_001a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; improves talks/proposal pair by using negotiations/concessions to reduce alternate readings of breaking off a proposal.
17	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_046b	pv_046	follow up	unacceptable	unacceptable	The clinic followed up on the patient brochure.	followed up	rec_ljt_v4_multi_agent_cljt_046b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; improves thermometer pair with a same-domain administrative near-miss, though native review should check breadth of follow up on.
18	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_014b	pv_014	turn over	unacceptable	unacceptable	The suspect turned over charges to police.	turned over	rec_ljt_v4_multi_agent_cljt_014b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; keeps turn over but sharpens authority-transfer object contrast.
19	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_043a	pv_043	rule out	acceptable	acceptable	The doctor ruled out infection.	ruled out	rec_ljt_v4_multi_agent_cljt_043a.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Exclude-possibility sense is a strong academic candidate with manageable near-misses.
20	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_013a	pv_013	run out	acceptable	acceptable	The permit ran out during the audit.	ran out	rec_ljt_v4_multi_agent_cljt_013a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; retargets run out from resource depletion to expiry to reduce obvious stock/resource cueing.
21	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_015a	pv_015	put on	acceptable	acceptable	The gallery put on a retrospective exhibition.	put on	rec_ljt_v4_multi_agent_cljt_015a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; improves theater/ticket pair by using an arts-institution frame that suppresses clothing and application readings.
22	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_032b	pv_032	back up	unacceptable	unacceptable	The results backed up the questionnaire.	backed up	rec_ljt_v4_multi_agent_cljt_032b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v2; replaces conclusion/confusion with a tighter research-internal claim/instrument contrast.
23	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_033b	pv_033	open up	unacceptable	unacceptable	The ruling opened up new appeal deadlines.	opened up	rec_ljt_v4_multi_agent_cljt_033b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v1; revises opportunities/objections pair because objections could be caused or invited by a policy; legal appeal frame blocks disclosure/speaking readings.
24	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_006a	pv_006	take on	acceptable	acceptable	The lawyer took on the difficult case.	took on	rec_ljt_v4_multi_agent_cljt_006a.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
25	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the pencil.	worked out	rec_ljt_v4_multi_agent_cljt_048b.wav	quality_status=prelim_pass_native_review_required; review_score_100=85; v6-derived candidate; native review still required; Solution/calculation sense is strong if both conditions involve problems or quantities.
26	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_045a	pv_045	sum up	acceptable	acceptable	The abstract summed up the study.	summed up	rec_ljt_v4_multi_agent_cljt_045a.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Summarize-content sense is strong if both conditions use text/content objects.
27	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_011a	pv_011	stand out	acceptable	acceptable	One bid stood out among tenders.	stood out	rec_ljt_v4_multi_agent_cljt_011a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v3; improves essay/pages by using a same-domain procurement comparison set.
28	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_009b	pv_009	get on	unacceptable	unacceptable	The researchers got on with the finding.	got on	rec_ljt_v4_multi_agent_cljt_009b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; replaces transparent transport boarding sense with get-on-with task-continuation sense to improve C1 construct fit while retaining the original PV.
29	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_012b	pv_012	pull back	unacceptable	unacceptable	The investors pulled back from the valuation.	pulled back	rec_ljt_v4_multi_agent_cljt_012b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; improves project/approval pair with a tighter finance-deal near-miss.
30	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_022b	pv_022	cut off	unacceptable	unacceptable	The lender cut off the credit rating.	cut off	rec_ljt_v4_multi_agent_cljt_022b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
31	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_047a	pv_047	lay out	acceptable	acceptable	The diagram laid out the process.	laid out	rec_ljt_v4_multi_agent_cljt_047a.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Present/organize-information sense is strong, but literal arrangement sense must be avoided.
32	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_044b	pv_044	bring down	unacceptable	unacceptable	The scandal brought down the briefing.	brought down	rec_ljt_v4_multi_agent_cljt_044b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v2; replaces point out because the information-object frame accepts too many possible complements and is difficult to make selectively unacceptable.
33	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_004a	pv_004	take up	acceptable	acceptable	The committee took up the funding issue.	took up	rec_ljt_v4_multi_agent_cljt_004a.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
34	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_040b	pv_040	come out	unacceptable	unacceptable	The senator came out against the evidence.	came out	rec_ljt_v4_multi_agent_cljt_040b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces reveal-sense secret/witness pair because person subjects invite literal/social readings; stance frame makes the target sense clearer.
35	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_038b	pv_038	turn down	unacceptable	unacceptable	The board turned down the evidence.	turned down	rec_ljt_v4_multi_agent_cljt_038b.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_038 come on; candidate_id=rep_016; original_v6_action=drop; Check legal/register acceptability of turn down evidence.
36	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_028b	pv_028	reach out	unacceptable	unacceptable	The client reached out for legal evidence.	reached out	rec_ljt_v4_multi_agent_cljt_028b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; replaces person/non-person recipient cue with a for-complement help-seeking contrast.
37	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_034a	pv_034	take out	acceptable	acceptable	The landlord took out a flood policy.	took out	rec_ljt_v4_multi_agent_cljt_034a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=93; multi-agent synthesis v3; replaces mortgage/receipt with tighter insurance-domain collocation and lower literal-removal risk.
38	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_041a	pv_041	bring about	acceptable	acceptable	The ruling brought about a retrial.	brought about	rec_ljt_v4_multi_agent_cljt_041a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; replaces generic reforms/change/evidence pair with a legal-domain event/record contrast.
39	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_005a	pv_005	put off	acceptable	acceptable	The board put off the final vote.	put off	rec_ljt_v4_multi_agent_cljt_005a.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
40	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_019b	pv_019	get off	unacceptable	unacceptable	The defendant got off with a conviction.	got off	rec_ljt_v4_multi_agent_cljt_019b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; replaces transparent leave-vehicle sense with legal leniency sense to improve C1 suitability and suppress transport/literal readings.
41	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_037b	pv_037	shut down	unacceptable	unacceptable	The agency shut down the reason.	shut down	rec_ljt_v4_multi_agent_cljt_037b.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_037 go down; candidate_id=rep_015; original_v6_action=replace_or_rewrite; Strong candidate; check whether reason is too obviously wrong.
42	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_018a	pv_018	pay off	acceptable	acceptable	The firm paid off the loan after restructuring.	paid off	rec_ljt_v4_multi_agent_cljt_018a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; retargets pay off from broad beneficial-success sense to debt-settlement sense for clearer C1 lexical-semantic dependency.
43	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_002b	pv_002	hand over	unacceptable	unacceptable	The agency handed over the verdict to prosecutors.	handed over	rec_ljt_v4_multi_agent_cljt_002b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v3; moves from prisoner/arrest to investigation/verdict to reduce animacy and custody-specific cueing.
44	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_017a	pv_017	sort out	acceptable	acceptable	The mediator sorted out the scheduling conflict.	sorted out	rec_ljt_v4_multi_agent_cljt_017a.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
45	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_007a	pv_007	give in	acceptable	acceptable	The company gave in to public pressure.	gave in	rec_ljt_v4_multi_agent_cljt_007a.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
46	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_008a	pv_008	move up	acceptable	acceptable	The team moved up to first place.	moved up	rec_ljt_v4_multi_agent_cljt_008a.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
47	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_035b	pv_035	fill in	unacceptable	unacceptable	The consultant filled in for the project meeting.	filled in	rec_ljt_v4_multi_agent_cljt_035b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces fill someone in on X frame because almost any topic can fit that frame; substitute-for sense gives cleaner acceptability contrast.
48	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_026b	pv_026	set out	unacceptable	unacceptable	The contract set out the payment receipts.	set out	rec_ljt_v4_multi_agent_cljt_026b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=93; multi-agent synthesis v2; improves procedure/appendix pair with tighter same-domain payment contrast and low alternate-sense risk.
49	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_029b	pv_029	set off	unacceptable	unacceptable	The comment set off a heated summary.	set off	rec_ljt_v4_multi_agent_cljt_029b.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_029 keep up; candidate_id=rep_028; original_v6_action=replace_or_rewrite; Summary is a document/product cue; consider replacing with dispute in review.
50	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_027a	pv_027	break down	acceptable	acceptable	The manager broke down the project budget.	broke down	rec_ljt_v4_multi_agent_cljt_027a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; keeps original PV but replaces sports play/whistle with a stronger project-management near-miss.
51	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_021a	pv_021	pass on	acceptable	acceptable	The director passed on the client's message.	passed on	rec_ljt_v4_multi_agent_cljt_021a.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
52	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back the turnout.	took back	rec_ljt_v4_multi_agent_cljt_016b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v3; replaces sports lead/loss with institutional election-domain contrast.
53	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_039b	pv_039	take over	unacceptable	unacceptable	The deputy took over the advice.	took over	rec_ljt_v4_multi_agent_cljt_039b.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_039 come in; candidate_id=rep_017; original_v6_action=replace_or_rewrite; Best current draft among replacements.
54	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_010a	pv_010	play out	acceptable	acceptable	The trial played out over two weeks.	played out	rec_ljt_v4_multi_agent_cljt_010a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
