pv_id	pv	material_set	source	sense_no	meaning	sense_frequency_coca	opacity_1_transparent_7_opaque	design_category	register_focus	ljt_acceptable_id	ljt_unacceptable_id	ljt_list_A_item_id	ljt_list_B_item_id	audio_decision_real_trial_id	orthographic_item_id	notes
pv_027	break down	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	3	Divide or separate into categories or smaller components so as to make it easier to understand or deal with	1755.60	2.5	analysis_decompose	general	ljt_027a	ljt_027b	ljt_027a	ljt_027b	audio_v2_027	ortho_027	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_028	reach out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Make an effort to address or communicate with SB, so as to help them or involve them in STH	3903.39	3.0	communicative_outreach	general	ljt_028a	ljt_028b	ljt_028b	ljt_028a	audio_v2_028	ortho_028	revised to align with recognition and LJT target sense
pv_029	keep up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Make STH continue	3459.95	3.2	continuation_anchor	general	ljt_029a	ljt_029b	ljt_029a	ljt_029b	audio_v2_029	ortho_029	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_030	put up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	3	Display or attach STH (e.g. to a wall) so it can be seen	2456.17	1.7	display_attach	general	ljt_030a	ljt_030b	ljt_030b	ljt_030a	audio_v2_030	ortho_030	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_031	turn around	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Make STH become better or more successful than it previously was (economy, business)	2793.49	4.8	improvement	general	ljt_031a	ljt_031b	ljt_031a	ljt_031b	audio_v2_031	ortho_031	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_032	back up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Establish as valid or genuine	2345.41	3.7	support_evidence	general	ljt_032a	ljt_032b	ljt_032b	ljt_032a	audio_v2_032	ortho_032	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_033	look out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Look outside, or at the horizon	6499.86	1.8	visual_direction_anchor	general	ljt_033a	ljt_033b	ljt_033a	ljt_033b	audio_v2_033	ortho_033	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_034	take out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Obtain an official document or service from an authority	1777.88	3.2	official_service	general	ljt_034a	ljt_034b	ljt_034b	ljt_034a	audio_v2_034	ortho_034	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_035	look back	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Think of STH again, reconsider STH past	7551.23	3	return_attention_anchor	general	ljt_035a	ljt_035b	ljt_035a	ljt_035b	audio_v2_035	ortho_035	source sentence/definition should be checked; likely use revised final sentence
pv_036	go up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Become higher in value; increase	9424.95	2	increase	general	ljt_036a	ljt_036b	ljt_036b	ljt_036a	audio_v2_036	ortho_036	revise tense in final item sentence
pv_037	go down	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Decrease in value or amount	5425.92	3	decrease	general	ljt_037a	ljt_037b	ljt_037a	ljt_037b	audio_v2_037	ortho_037	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_038	come on	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Said to show SB disbelief, disagreement, or anger	4073.55	5.1	discourse_marker	general	ljt_038a	ljt_038b	ljt_038b	ljt_038a	audio_v2_038	ortho_038	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_039	come in	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Become involved in a situation	4257.12	2.1	become_involved	general	ljt_039a	ljt_039b	ljt_039a	ljt_039b	audio_v2_039	ortho_039	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_040	come out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Become known or revealed after being kept secret	4929.26	2.2	revelation	general	ljt_040a	ljt_040b	ljt_040b	ljt_040a	audio_v2_040	ortho_040	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_041	bring about	academic_extension_strict_two_word	S&AW_PHaVE	1	Cause to happen or emerge, especially something positive			academic_causation	academic	ljt_041a	ljt_041b	ljt_041a	ljt_041b	audio_v2_041	ortho_041	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
pv_042	carry out	academic_extension_strict_two_word	S&AW_PHaVE	1	Conduct, perform, or complete a task, plan, study, or duty			academic_procedure	academic	ljt_042a	ljt_042b	ljt_042b	ljt_042a	audio_v2_042	ortho_042	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available; LJT v4 pre-audio sentence revised
pv_043	rule out	academic_extension_strict_two_word	S&AW_PHaVE	1	Exclude something as impossible or unsuitable			academic_exclusion	academic	ljt_043a	ljt_043b	ljt_043a	ljt_043b	audio_v2_043	ortho_043	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
pv_044	point out	academic_extension_strict_two_word	S&AW_PHaVE	1	Direct attention to a fact, idea, or piece of information			academic_discourse	academic	ljt_044a	ljt_044b	ljt_044b	ljt_044a	audio_v2_044	ortho_044	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
pv_045	sum up	academic_extension_strict_two_word	S&AW_PHaVE	1	Summarize the main points of something			academic_summary	academic	ljt_045a	ljt_045b	ljt_045a	ljt_045b	audio_v2_045	ortho_045	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
pv_046	follow up	academic_extension_strict_two_word	S&AW_PHaVE	1	Take further action after something has started or been reported			academic_follow_up	academic	ljt_046a	ljt_046b	ljt_046b	ljt_046a	audio_v2_046	ortho_046	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
pv_047	lay out	academic_extension_strict_two_word	S&AW_PHaVE	1	Present or arrange information clearly			academic_organization	academic	ljt_047a	ljt_047b	ljt_047a	ljt_047b	audio_v2_047	ortho_047	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available; LJT v4 pre-audio sentence revised
pv_048	work out	academic_extension_strict_two_word	S&AW_PHaVE	1	Find, calculate, or understand a solution			problem_solving	academic_general	ljt_048a	ljt_048b	ljt_048b	ljt_048a	audio_v2_048	ortho_048	S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available; LJT v4 pre-audio sentence revised
