pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	acceptable_sentence	unacceptable_sentence	diagnostic_flags
pv_025	clean up	ljt_025a	ljt_025b	0.7426415085792542	0.7805671691894531	-0.24449726202609856	1.4712605476379395	The editor cleaned up the rude comments.	The editor cleaned up the abusive comments by adding insults.	none
pv_026	set out	ljt_026a	ljt_026b	0.7838894128799438	0.8646591901779175	-1.4033127870155961	1.409041404724121	The report set out the main rules clearly.	The report set out the rules, but no rules were explained.	none
pv_027	break down	ljt_027a	ljt_027b	0.9404863119125366	0.9619313478469849	-0.16976653944437592	-1.3442716598510742	The teacher broke down the task into steps.	The teacher broke down the task into one large step.	target_fit_not_higher_for_acceptable
pv_028	reach out	ljt_028a	ljt_028b	0.6617202162742615	0.7102975845336914	0.5409609229407373	-0.20976710319519043	The manager reached out after the complaint.	The manager reached out by ignoring every message.	target_fit_not_higher_for_acceptable
pv_029	keep up	ljt_029a	ljt_029b	0.7132495641708374	0.7683557868003845	0.4769677335085971	-0.3228433132171631	She kept up the good work all semester.	She kept up the good work by stopping after one day.	target_fit_not_higher_for_acceptable
pv_030	put up	ljt_030a	ljt_030b	0.6722975373268127	0.7553160786628723	0.3902996103608547	1.352068543434143	They put up posters on the classroom wall.	They put up posters but left them in the box.	none
pv_031	turn around	ljt_031a	ljt_031b	0.8570677042007446	0.8581014275550842	-0.7839137681793156	0.8546364307403564	The new coach turned around the team.	The new coach turned around the team by making it lose every game.	none
pv_032	back up	ljt_032a	ljt_032b	0.8392715454101562	0.920252799987793	-2.072444543009624	0.1917734146118164	The data backed up the main claim.	The data backed up the main claim by contradicting it.	none
pv_033	look out	ljt_033a	ljt_033b	0.7346515655517578	0.8331339359283447	0.5423535690642893	-0.22041156888008118	She looked out at the garden.	She looked out at the garden from a room with no window.	target_fit_not_higher_for_acceptable
pv_034	take out	ljt_034a	ljt_034b	0.6230675578117371	0.7680729627609253	0.06875325510310082	-2.9607555866241455	He took out a loan to pay for the course.	He took out a loan but borrowed no money.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_035	look back	ljt_035a	ljt_035b	0.9412529468536377	0.9527624249458313	-0.6473193920838336	1.4959404468536377	Years later, they looked back on the decision.	Years later, they looked back on a decision that had not happened yet.	none
pv_036	go up	ljt_036a	ljt_036b	0.9930243492126465	0.9966656565666199	0.20628547684755177	-0.2248384952545166	The price went up from five dollars to ten.	The price went up from ten dollars to five.	target_fit_not_higher_for_acceptable
pv_037	go down	ljt_037a	ljt_037b	0.9932195544242859	0.9966656565666199	-0.14951563354115927	0.23677539825439453	The price went down from ten dollars to five.	The price went down from five dollars to ten.	none
pv_038	come on	ljt_038a	ljt_038b	0.618789792060852	0.8812935948371887	0.32404354170721494	-0.28835439682006836	Oh, come on, that cannot be true.	Oh, come on, that is exactly right.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_039	come in	ljt_039a	ljt_039b	0.46982213854789734	0.6060038208961487	-0.7965147943016035	-1.2881202697753906	Experts came in to help with the problem.	Experts came in to help, but they were never involved.	low_context_similarity;low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_040	come out	ljt_040a	ljt_040b	0.6078583598136902	0.6823216676712036	1.4330775062553585	-2.0687336921691895	The truth came out during the trial.	The truth came out but remained completely secret.	low_context_similarity;low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_041	bring about	ljt_041a	ljt_041b	0.7428164482116699	0.8478370308876038	-0.12614827416837215	-0.978553295135498	The reforms brought about major changes.	The reforms brought about major changes, but nothing changed.	target_fit_not_higher_for_acceptable
pv_042	carry out	ljt_042a	ljt_042b	0.7141907215118408	0.7645142674446106	0.7398499008500945	0.9249391555786133	The researchers carried out the survey in three schools.	The researchers carried out the hypothesis in three schools.	none
pv_043	rule out	ljt_043a	ljt_043b	0.6117858290672302	0.6778826713562012	1.0708711929195984	0.29746580123901367	The evidence ruled out a simple explanation.	The evidence ruled out fraud, so fraud was certain.	low_context_similarity;low_full_sentence_similarity
pv_044	point out	ljt_044a	ljt_044b	0.7347358465194702	0.8294806480407715	-0.7099227587607775	-0.8045740127563477	The teacher pointed out the error in the essay.	The teacher pointed out the error but never mentioned it.	target_fit_not_higher_for_acceptable
pv_045	sum up	ljt_045a	ljt_045b	0.816099226474762	0.8549611568450928	0.2401513133850781	0.766997178395588	The final paragraph summed up the argument.	The final paragraph summed up the argument by adding a new topic.	none
pv_046	follow up	ljt_046a	ljt_046b	0.7425194978713989	0.8819054961204529	0.2748894925610246	1.5919413566589355	The doctor followed up the test with a call.	The doctor followed up the test with no further action.	none
pv_047	lay out	ljt_047a	ljt_047b	0.5837640166282654	0.8292643427848816	-0.22809172022071778	0.2979319095611572	The introduction laid out the plan for the paper.	The introduction laid out the plan in no clear order.	low_full_sentence_similarity
pv_048	work out	ljt_048a	ljt_048b	0.7578863501548767	0.84284508228302	-0.15238366131949377	0.34891557693481445	The students worked out the answer after class.	The students worked out the answer by copying it from the board.	none
