trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
12	B	ljt_004a	pv_004	put in	acceptable	acceptable	put in	She put in three hours on the report before the meeting.	devote time or effort	none	Sonbul_ElDakhs_2024_supplement	v4 pre-audio review: made effort object explicit
13	B	ljt_029b	pv_029	keep up	unacceptable	unacceptable	kept up	She kept up the good work by stopping after one day.	make something continue	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with continuity contradiction; carried forward to v3
14	B	ljt_024a	pv_024	put out	acceptable	acceptable	put out	Police put out a warning about the danger.	make information public	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
15	B	ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	The company pulled back from the risky plan.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
16	B	ljt_003b	pv_003	give out	unacceptable	unacceptable	gave out	After the long climb, his knees gave out, but he kept walking easily.	stop working properly	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v4 pre-audio review: reduced extreme outcome while preserving contradiction
17	B	ljt_016a	pv_016	take back	acceptable	acceptable	took back	The party took back control of the council.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
18	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The office ran out of paper, but there was plenty left.	use all of something	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
19	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The introduction laid out the plan for the paper but never described the plan.	present or arrange clearly	semantic_contradiction	S&AW_PHaVE	v4 pre-audio review: replaced clarity mismatch with clearer presentation contradiction
20	B	ljt_005b	pv_005	take in	unacceptable	unacceptable	take in	The lecture was too fast to take in, so everyone understood every detail.	understand fully	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd subject with contradiction; carried forward to v3
21	B	ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the keys to the manager.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
22	B	ljt_040a	pv_040	come out	acceptable	acceptable	came out	The truth came out during the trial.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
23	B	ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the speaker mid-sentence.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
24	B	ljt_021b	pv_021	get down	unacceptable	unacceptable	got down	The soldiers got down by standing taller.	lower the body	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
25	B	ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the main rules clearly.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
26	B	ljt_006a	pv_006	sit back	acceptable	acceptable	sat back	The mayor sat back while the problem grew.	take no action	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
27	B	ljt_033b	pv_033	look out	unacceptable	unacceptable	looked out	She looked out at the garden from a room with no window.	look outside	context_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced silence object with visual-context mismatch; carried forward to v3
28	B	ljt_017b	pv_017	make out	unacceptable	unacceptable	make out	I could barely make out the sign, although it was clear and easy to read.	see or hear with difficulty	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v4 pre-audio review: replaced modality mismatch with semantic contradiction
29	B	ljt_036a	pv_036	go up	acceptable	acceptable	went up	The price went up from five dollars to ten.	increase	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
30	B	ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The manager reached out after the complaint.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
31	B	ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in an expert, but no expert joined the project.	ask someone to do a job or task	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with role contradiction; carried forward to v3
32	B	ljt_025b	pv_025	clean up	unacceptable	unacceptable	cleaned up	The editor cleaned up the abusive comments by adding insults.	remove unacceptable content or behavior	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with content contradiction; carried forward to v3
33	B	ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The children got off the train but stayed in their seats.	leave a vehicle	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
34	B	ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The teacher broke down the task into one large step.	divide into smaller parts	result_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd result with near-miss; carried forward to v3
35	B	ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the answer after class.	find or calculate a solution	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
36	B	ljt_035b	pv_035	look back	unacceptable	unacceptable	looked back	Years later, they looked back on a decision that had not happened yet.	think about a past event	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: temporal mismatch made clearer; carried forward to v3
37	B	ljt_030a	pv_030	put up	acceptable	acceptable	put up	They put up posters on the classroom wall.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
38	B	ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The officer turned over the files to the court.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
39	B	ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The tourists got on the bus, but they stayed on the sidewalk.	board a vehicle	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
40	B	ljt_007b	pv_007	hold back	unacceptable	unacceptable	held back	Poor training held back the young players, so they improved quickly.	prevent progress or potential	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v4 pre-audio review: made acceptable and unacceptable contexts more parallel
41	B	ljt_038a	pv_038	come on	acceptable	acceptable	come on	Oh, come on, that cannot be true.	express disbelief or disagreement	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
42	B	ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the main claim.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
43	B	ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the survey in three schools.	conduct or perform a task	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
44	B	ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about major changes, but nothing changed.	cause something to happen	semantic_contradiction	S&AW_PHaVE	revised after expert review: effect contradiction made explicit; carried forward to v3
45	B	ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The evidence ruled out a simple explanation, but that explanation was clearly correct.	exclude a possibility	semantic_contradiction	S&AW_PHaVE	v3 BERT review: made context more parallel for rule out
46	B	ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The teacher pointed out the error in the essay.	draw attention to information	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
47	B	ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The doctor followed up the test with a call.	take further action after something	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
48	B	ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	Her years of practice paid off in the final match.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
