ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The children got off the deadline.	leave a vehicle	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	He turned up at the meeting.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	He turned up at the method.	arrive or appear	location_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_021a	pv_021	get down	acceptable	acceptable	got down	The soldiers got down behind the wall.	lower the body	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_021b	pv_021	get down	unacceptable	unacceptable	got down	The soldiers got down behind the idea.	lower the body	location_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the speaker.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the policy.	interrupt someone	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in an expert.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in a deadline.	ask someone to do a job or task	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_024a	pv_024	put out	acceptable	acceptable	put out	Police put out a warning.	make information public	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_024b	pv_024	put out	unacceptable	unacceptable	put out	Police put out a wallet.	make information public	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_025a	pv_025	clean up	acceptable	acceptable	cleaned up	The editor cleaned up the insults.	remove unacceptable content or behavior	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_025b	pv_025	clean up	unacceptable	unacceptable	cleaned up	The editor cleaned up the deadline.	remove unacceptable content or behavior	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the rules.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the pencils.	present or explain clearly	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The teacher broke down the problem.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The teacher broke down the applause.	divide into smaller parts	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The manager reached out to clients.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The manager reached out to deadlines.	contact someone or offer help	recipient_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_029a	pv_029	keep up	acceptable	acceptable	kept up	She kept up the good work.	make something continue	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_029b	pv_029	keep up	unacceptable	unacceptable	kept up	She kept up the heavy claim.	make something continue	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_030a	pv_030	put up	acceptable	acceptable	put up	They put up posters downtown.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	They put up music downtown.	display or attach something	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The coach turned around the team.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The coach turned around the deadline.	make something successful after problems	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the claim.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the deadline.	support with evidence	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_033a	pv_033	look out	acceptable	acceptable	looked out	She looked out at the garden.	look outside	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_033b	pv_033	look out	unacceptable	unacceptable	looked out	She looked out at the deadline.	look outside	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_034a	pv_034	take out	acceptable	acceptable	took out	He took out a loan yesterday.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	He took out a deadline yesterday.	obtain an official service or document	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_035a	pv_035	look back	acceptable	acceptable	looked back	They looked back on the decision.	think about a past event	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_035b	pv_035	look back	unacceptable	unacceptable	looked back	They looked back on the ceiling.	think about a past event	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_036a	pv_036	go up	acceptable	acceptable	went up	The rent went up sharply.	increase	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_036b	pv_036	go up	unacceptable	unacceptable	went up	The advice went up sharply.	increase	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_037a	pv_037	go down	acceptable	acceptable	went down	The rent went down sharply.	decrease	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_037b	pv_037	go down	unacceptable	unacceptable	went down	The advice went down sharply.	decrease	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_038a	pv_038	come on	acceptable	acceptable	come on	Oh, come on, that sounds impossible.	express disbelief or disagreement	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_038b	pv_038	come on	unacceptable	unacceptable	come on	Oh, come on, that sounds accurate.	express disbelief or disagreement	discourse_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_039a	pv_039	come in	acceptable	acceptable	came in	Experts came in during planning.	become involved	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_039b	pv_039	come in	unacceptable	unacceptable	came in	Experts came in during deadline.	become involved	context_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_040a	pv_040	come out	acceptable	acceptable	came out	The truth came out during interviews.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The furniture came out during interviews.	become known or revealed	context_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about major change.	cause something to happen	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about major furniture.	cause something to happen	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the survey.	conduct or perform a task	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the deadline.	conduct or perform a task	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The evidence ruled out that explanation.	exclude a possibility	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The evidence ruled out that deadline.	exclude a possibility	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The teacher pointed out the error.	draw attention to information	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The pencil pointed out the error.	draw attention to information	subject_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The paragraph summed up the argument.	summarize the main points	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The paragraph summed up the deadline.	summarize the main points	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The nurse followed up after surgery.	take further action after something	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The nurse followed up after furniture.	take further action after something	context_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The chart laid out the plan.	present or arrange clearly	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The chart laid out the spoon.	present or arrange clearly	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the answer.	find or calculate a solution	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the carpet.	find or calculate a solution	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
