trial_id	current_foil	matched_target_pv	verb	particle	in_phave_or_sandaw_top150	wordnet_verb_expression_hit	classification	recommended_action	rationale	rater_common_pv_yes_no_unsure	rater_naturalness_1_4	rater_comments
audio_072	put beyond	put out	put	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_073	clean along	clean up	clean	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_074	set across	set out	set	across	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_075	break above	break down	break	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_076	reach under	reach out	reach	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_077	keep along	keep up	keep	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_078	put beneath	put up	put	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_079	turn beyond	turn around	turn	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_080	back under	back up	back	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_081	look beside	look out	look	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_082	take beneath	take out	take	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_083	look beneath	look back	look	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_084	go beside	go up	go	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_085	go above	go down	go	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_086	come beside	come on	come	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_087	come above	come in	come	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_088	come beneath	come out	come	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_089	bring beside	bring about	bring	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_090	carry above	carry out	carry	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_091	rule below	rule out	rule	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_092	point beneath	point out	point	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_093	sum below	sum up	sum	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_094	follow above	follow up	follow	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_095	lay below	lay out	lay	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_096	work above	work out	work	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
