ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	word_count	has_overt_cue	v6_pool_status	candidate_gate_status	acceptable_naturalness_1_4_candidate	unacceptable_near_miss_1_4_candidate	pv_dependency_1_4_candidate	general_cue_risk_1_4_candidate	alternate_sense_risk_1_4_candidate	pair_rationale	reviewer_naturalness_1_4	reviewer_target_sense_fit_1_4	reviewer_general_cue_risk_1_4	reviewer_decision_keep_revise_drop	reviewer_comment
ljt_012b	pv_012	pull back	unacceptable	unacceptable	Investors pulled back from the approval.	pulled back	withdraw from an activity	same_domain_complement_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.					
ljt_013a	pv_013	run out	acceptable	acceptable	The lab ran out of samples.	ran out	use all of something	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.					
ljt_013b	pv_013	run out	unacceptable	unacceptable	The lab ran out of findings.	ran out	use all of something	resource_depletion_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.					
ljt_014a	pv_014	turn over	acceptable	acceptable	The clerk turned over the records to police.	turned over	give control or possession to an authority	none	8	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.					
ljt_014b	pv_014	turn over	unacceptable	unacceptable	The clerk turned over the permission to police.	turned over	give control or possession to an authority	authority_transfer_object_mismatch	8	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.					
ljt_015a	pv_015	put on	acceptable	acceptable	The theater put on a musical.	put on	present or stage an event	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.					
ljt_015b	pv_015	put on	unacceptable	unacceptable	The theater put on a ticket.	put on	present or stage an event	event_staging_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.					
ljt_016a	pv_016	take back	acceptable	acceptable	The team took back the lead.	took back	regain control or possession	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.					
ljt_016b	pv_016	take back	unacceptable	unacceptable	The team took back the loss.	took back	regain control or possession	regain_control_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.					
ljt_018a	pv_018	pay off	acceptable	acceptable	The investment paid off quickly.	paid off	become successful or beneficial	none	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.					
ljt_018b	pv_018	pay off	unacceptable	unacceptable	The invoice paid off quickly.	paid off	become successful or beneficial	finance_domain_subject_mismatch	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.					
ljt_019a	pv_019	get off	acceptable	acceptable	The passengers got off the ferry.	got off	leave a vehicle	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.					
ljt_019b	pv_019	get off	unacceptable	unacceptable	The passengers got off the terminal.	got off	leave a vehicle	transport_anchor_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.					
ljt_020a	pv_020	turn up	acceptable	acceptable	The witness turned up at court.	turned up	arrive or appear	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.					
ljt_020b	pv_020	turn up	unacceptable	unacceptable	The witness turned up at testimony.	turned up	arrive or appear	appearance_location_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.					
ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the caller abruptly.	cut off	interrupt someone	none	7	false	active_candidate	prelim_review_required	4	3	3	2	3	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.					
ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the topic abruptly.	cut off	interrupt someone	interaction_participant_mismatch	7	false	active_candidate	prelim_review_required	4	3	3	2	3	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.					
ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in a consultant.	brought in	ask someone to do a job or task	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.					
ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in a consultation.	brought in	ask someone to do a job or task	recruitment_role_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.					
ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the procedure.	set out	present or explain clearly	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.					
ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the appendix.	set out	present or explain clearly	document_content_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.					
ljt_027a	pv_027	break down	acceptable	acceptable	The coach broke down the play.	broke down	divide into smaller parts	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.					
ljt_027b	pv_027	break down	unacceptable	unacceptable	The coach broke down the whistle.	broke down	divide into smaller parts	analysis_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.					
ljt_028a	pv_028	reach out	acceptable	acceptable	The nurse reached out to patients.	reached out	contact someone or offer help	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.					
ljt_028b	pv_028	reach out	unacceptable	unacceptable	The nurse reached out to symptoms.	reached out	contact someone or offer help	recipient_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.					
ljt_030a	pv_030	put up	acceptable	acceptable	The crew put up the banner.	put up	display or attach something	none	6	false	reserve_needs_native_review	reserve_not_listed	4	2	2	3	3	Both objects are display/publicity materials, but brochure remains too plausible in a posting context; keep as reserve pending native review.					
ljt_030b	pv_030	put up	unacceptable	unacceptable	The crew put up the brochure.	put up	display or attach something	display_attach_object_mismatch	6	false	reserve_needs_native_review	reserve_not_listed	4	2	2	3	3	Both objects are display/publicity materials, but brochure remains too plausible in a posting context; keep as reserve pending native review.					
ljt_031a	pv_031	turn around	acceptable	acceptable	The coach turned around the season.	turned around	make something successful after problems	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.					
ljt_031b	pv_031	turn around	unacceptable	unacceptable	The coach turned around the defeat.	turned around	make something successful after problems	improvement_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.					
ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the conclusion.	backed up	support with evidence	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.					
ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the confusion.	backed up	support with evidence	evidence_support_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.					
ljt_034a	pv_034	take out	acceptable	acceptable	She took out a mortgage.	took out	obtain an official service or document	none	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.					
ljt_034b	pv_034	take out	unacceptable	unacceptable	She took out a receipt.	took out	obtain an official service or document	official_document_mismatch	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.					
ljt_040a	pv_040	come out	acceptable	acceptable	The secret came out during trial.	came out	become known or revealed	none	6	false	active_candidate	prelim_review_required	4	3	3	2	3	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.					
ljt_040b	pv_040	come out	unacceptable	unacceptable	The witness came out during trial.	came out	become known or revealed	revelation_subject_mismatch	6	false	active_candidate	prelim_review_required	4	3	3	2	3	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.					
ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about change.	brought about	cause something to happen	none	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.					
ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about evidence.	brought about	cause something to happen	causal_result_mismatch	5	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.					
ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the analysis.	carried out	conduct or perform a task	none	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.					
ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the hypothesis.	carried out	conduct or perform a task	research_task_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.					
ljt_043a	pv_043	rule out	acceptable	acceptable	The doctor ruled out infection.	ruled out	exclude a possibility	none	5	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.					
ljt_043b	pv_043	rule out	unacceptable	unacceptable	The doctor ruled out symptoms.	ruled out	exclude a possibility	diagnostic_possibility_mismatch	5	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.					
ljt_044a	pv_044	point out	acceptable	acceptable	The review pointed out the limitation.	pointed out	draw attention to information	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.					
ljt_044b	pv_044	point out	unacceptable	unacceptable	The review pointed out the appendix.	pointed out	draw attention to information	information_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.					
ljt_045a	pv_045	sum up	acceptable	acceptable	The abstract summed up the study.	summed up	summarize the main points	none	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.					
ljt_045b	pv_045	sum up	unacceptable	unacceptable	The abstract summed up the heading.	summed up	summarize the main points	summary_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.					
ljt_046a	pv_046	follow up	acceptable	acceptable	The doctor followed up after the treatment.	followed up	take further action after something	none	7	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.					
ljt_046b	pv_046	follow up	unacceptable	unacceptable	The doctor followed up after the thermometer.	followed up	take further action after something	follow_up_event_mismatch	7	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.					
ljt_047a	pv_047	lay out	acceptable	acceptable	The diagram laid out the process.	laid out	present or arrange clearly	none	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.					
ljt_047b	pv_047	lay out	unacceptable	unacceptable	The diagram laid out the footnote.	laid out	present or arrange clearly	information_organization_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.					
ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the equation.	worked out	find or calculate a solution	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.					
ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the pencil.	worked out	find or calculate a solution	problem_solving_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.					
