ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
ljt_007a	pv_007	hold back	acceptable	acceptable	held back	Poor training held back the young players.	prevent progress or potential	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_007b	pv_007	hold back	unacceptable	unacceptable	held back	The extra support held back the young players, so they improved faster.	prevent progress or potential	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: ambiguous support context made explicit; carried forward to v3
ljt_008a	pv_008	move up	acceptable	acceptable	moved up	She moved up to a senior role last year.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	She moved up to a junior role last year.	advance to a higher position	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced impossible complement with status mismatch; carried forward to v3
ljt_009a	pv_009	get on	acceptable	acceptable	got on	The tourists got on the bus near the station.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The tourists got on the bus, but they stayed on the sidewalk.	board a vehicle	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_010a	pv_010	come along	acceptable	acceptable	came along	A better chance came along during the project.	appear or arrive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_010b	pv_010	come along	unacceptable	unacceptable	came along	A better chance came along, although nothing new appeared.	appear or arrive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: removed inanimate-subject alternative; carried forward to v3
ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	Her clear answer stood out in the interview.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	Her ordinary answer stood out as exactly like all the others.	be noticeable or impressive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: reduced context dependence; carried forward to v3
ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	The company pulled back from the risky plan.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	The company pulled back from the risky plan by investing more money.	withdraw from an activity	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The office ran out of paper before noon.	use all of something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The office ran out of paper, but there was plenty left.	use all of something	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The officer turned over the files to the court.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The officer turned over the files to the court but kept them locked in his desk.	give control or possession to an authority	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_015a	pv_015	put on	acceptable	acceptable	put on	The school put on a play for the visitors.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The school put on a play but never performed it.	present or stage an event	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with event contradiction; carried forward to v3
ljt_016a	pv_016	take back	acceptable	acceptable	took back	The party took back control of the council.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The party took back control, but its opponent still controlled the council.	regain control or possession	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with control contradiction; carried forward to v3
ljt_017a	pv_017	make out	acceptable	acceptable	make out	I could barely make out the sign in the dark.	see or hear with difficulty	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_017b	pv_017	make out	unacceptable	unacceptable	make out	I could barely make out the sign over the phone.	see or hear with difficulty	modality_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced silence item with modality mismatch; carried forward to v3
ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	Her years of practice paid off in the final match.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	Her years of practice paid off by making her lose every match.	become successful or beneficial	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
ljt_019a	pv_019	get off	acceptable	acceptable	got off	The children got off the train at the last stop.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The children got off the train but stayed in their seats.	leave a vehicle	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	He turned up late for the meeting.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	He turned up late for the meeting, but he never arrived.	arrive or appear	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: online-meeting ambiguity reduced; carried forward to v3
ljt_021a	pv_021	get down	acceptable	acceptable	got down	The soldiers got down behind the wall.	lower the body	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_021b	pv_021	get down	unacceptable	unacceptable	got down	The soldiers got down by standing taller.	lower the body	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the speaker mid-sentence.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the guest after she had finished speaking.	interrupt someone	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: reduced before-speaking alternative; carried forward to v3
ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in an expert to solve the problem.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in an expert, but no expert joined the project.	ask someone to do a job or task	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with role contradiction; carried forward to v3
ljt_024a	pv_024	put out	acceptable	acceptable	put out	Police put out a warning about the danger.	make information public	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_024b	pv_024	put out	unacceptable	unacceptable	put out	Police put out a warning but told no one about it.	make information public	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with publicity contradiction; carried forward to v3
ljt_025a	pv_025	clean up	acceptable	acceptable	cleaned up	The editor cleaned up the rude comments.	remove unacceptable content or behavior	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_025b	pv_025	clean up	unacceptable	unacceptable	cleaned up	The editor cleaned up the abusive comments by adding insults.	remove unacceptable content or behavior	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with content contradiction; carried forward to v3
ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the main rules clearly.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the rules, but no rules were explained.	present or explain clearly	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with explanation contradiction; carried forward to v3
ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The teacher broke down the task into steps.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The teacher broke down the task into one large step.	divide into smaller parts	result_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd result with near-miss; carried forward to v3
ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The manager reached out after the complaint.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The manager reached out by ignoring every message.	contact someone or offer help	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
ljt_029a	pv_029	keep up	acceptable	acceptable	kept up	She kept up the good work all semester.	make something continue	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_029b	pv_029	keep up	unacceptable	unacceptable	kept up	She kept up the good work by stopping after one day.	make something continue	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with continuity contradiction; carried forward to v3
ljt_030a	pv_030	put up	acceptable	acceptable	put up	They put up posters on the classroom wall.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	They put up posters but left them in the box.	display or attach something	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with display contradiction; carried forward to v3
ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The new coach turned around the team.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The new coach turned around the team by making it lose every game.	make something successful after problems	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced weather with improvement contradiction; carried forward to v3
ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the main claim.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the main claim by contradicting it.	support with evidence	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced physical object with evidence contradiction; carried forward to v3
ljt_033a	pv_033	look out	acceptable	acceptable	looked out	She looked out at the garden.	look outside	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_033b	pv_033	look out	unacceptable	unacceptable	looked out	She looked out at the garden from a room with no window.	look outside	context_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced silence object with visual-context mismatch; carried forward to v3
ljt_034a	pv_034	take out	acceptable	acceptable	took out	He took out a loan to pay for the course.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	He took out a loan but borrowed no money.	obtain an official service or document	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with service contradiction; carried forward to v3
ljt_035a	pv_035	look back	acceptable	acceptable	looked back	Years later, they looked back on the decision.	think about a past event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_035b	pv_035	look back	unacceptable	unacceptable	looked back	Years later, they looked back on a decision that had not happened yet.	think about a past event	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: temporal mismatch made clearer; carried forward to v3
ljt_036a	pv_036	go up	acceptable	acceptable	went up	The price went up from five dollars to ten.	increase	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_036b	pv_036	go up	unacceptable	unacceptable	went up	The price went up from ten dollars to five.	increase	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: directional mismatch retained; carried forward to v3
ljt_037a	pv_037	go down	acceptable	acceptable	went down	The price went down from ten dollars to five.	decrease	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_037b	pv_037	go down	unacceptable	unacceptable	went down	The price went down from five dollars to ten.	decrease	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: directional mismatch retained; carried forward to v3
ljt_038a	pv_038	come on	acceptable	acceptable	come on	Oh, come on, that cannot be true.	express disbelief or disagreement	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_038b	pv_038	come on	unacceptable	unacceptable	come on	Oh, come on, that is exactly right.	express disbelief or disagreement	discourse_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: requires sincere agreement prosody in audio; carried forward to v3
ljt_039a	pv_039	come in	acceptable	acceptable	came in	Experts came in to help with the problem and joined the project.	become involved	none	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made come in acceptable context parallel
ljt_039b	pv_039	come in	unacceptable	unacceptable	came in	Experts came in to help with the problem but never joined the project.	become involved	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made come in unacceptable context parallel
ljt_040a	pv_040	come out	acceptable	acceptable	came out	The truth came out during the trial.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The truth came out during the trial but remained completely secret.	become known or revealed	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made context more parallel for come out
ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about major changes.	cause something to happen	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about major changes, but nothing changed.	cause something to happen	semantic_contradiction	S&AW_PHaVE	revised after expert review: effect contradiction made explicit; carried forward to v3
ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the survey in three schools.	conduct or perform a task	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the hypothesis in three schools.	conduct or perform a task	object_semantic_mismatch	S&AW_PHaVE	revised after expert review: replaced thunderstorm with academic near-miss; carried forward to v3
ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The evidence ruled out a simple explanation.	exclude a possibility	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The evidence ruled out a simple explanation, but that explanation was clearly correct.	exclude a possibility	semantic_contradiction	S&AW_PHaVE	v3 BERT review: made context more parallel for rule out
ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The teacher pointed out the error in the essay.	draw attention to information	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The teacher pointed out the error but never mentioned it.	draw attention to information	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced odd object with attention contradiction; carried forward to v3
ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The final paragraph summed up the argument.	summarize the main points	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The final paragraph summed up the argument by adding a new topic.	summarize the main points	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced odd object with summary contradiction; carried forward to v3
ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The doctor followed up the test with a call.	take further action after something	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The doctor followed up the test with no further action.	take further action after something	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced cloud with action contradiction; carried forward to v3
ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The introduction laid out the plan for the paper.	present or arrange clearly	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The introduction laid out the plan in no clear order.	present or arrange clearly	semantic_contradiction	S&AW_PHaVE	revised after expert review: physical-sense ambiguity reduced; carried forward to v3
ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the answer after class.	find or calculate a solution	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the answer by copying it from the board.	find or calculate a solution	method_semantic_mismatch	S&AW_PHaVE	revised after expert review: replaced rain with solution-method mismatch; carried forward to v3
