trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
11	A	ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The new coach turned around the team.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
12	A	ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The doctor followed up the test with no further action.	take further action after something	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced cloud with action contradiction; carried forward to v3
13	A	ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The teacher broke down the task into steps.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
14	A	ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The manager reached out by ignoring every message.	contact someone or offer help	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
15	A	ljt_021a	pv_021	get down	acceptable	acceptable	got down	The soldiers got down behind the wall.	lower the body	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
16	A	ljt_024b	pv_024	put out	unacceptable	unacceptable	put out	Police put out a warning but told no one about it.	make information public	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with publicity contradiction; carried forward to v3
17	A	ljt_007a	pv_007	hold back	acceptable	acceptable	held back	Poor training held back the young players.	prevent progress or potential	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
18	A	ljt_019a	pv_019	get off	acceptable	acceptable	got off	The children got off the train at the last stop.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
19	A	ljt_004b	pv_004	put in	unacceptable	unacceptable	put in	She put in three hours but spent no time on the report.	devote time or effort	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
20	A	ljt_006b	pv_006	sit back	unacceptable	unacceptable	sat back	The mayor sat back while he personally led the response.	take no action	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: literal reading risk reduced; carried forward to v3
21	A	ljt_010b	pv_010	come along	unacceptable	unacceptable	came along	A better chance came along, although nothing new appeared.	appear or arrive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: removed inanimate-subject alternative; carried forward to v3
22	A	ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	Her years of practice paid off by making her lose every match.	become successful or beneficial	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	reviewed: contradiction retained; carried forward to v3
23	A	ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	He took out a loan but borrowed no money.	obtain an official service or document	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with service contradiction; carried forward to v3
24	A	ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	She moved up to a junior role last year.	advance to a higher position	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced impossible complement with status mismatch; carried forward to v3
25	A	ljt_001a	pv_001	break off	acceptable	acceptable	broke off	After weeks of argument, the union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
26	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The teacher pointed out the error but never mentioned it.	draw attention to information	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced odd object with attention contradiction; carried forward to v3
27	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the keys but kept them in his pocket.	give control or possession to someone	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
28	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the main claim by contradicting it.	support with evidence	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced physical object with evidence contradiction; carried forward to v3
29	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The officer turned over the files to the court but kept them locked in his desk.	give control or possession to an authority	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
30	A	ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The office ran out of paper before noon.	use all of something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
31	A	ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The final paragraph summed up the argument.	summarize the main points	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
32	A	ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	He turned up late for the meeting, but he never arrived.	arrive or appear	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: online-meeting ambiguity reduced; carried forward to v3
33	A	ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	They put up posters but left them in the box.	display or attach something	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with display contradiction; carried forward to v3
34	A	ljt_033a	pv_033	look out	acceptable	acceptable	looked out	She looked out at the garden.	look outside	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
35	A	ljt_025a	pv_025	clean up	acceptable	acceptable	cleaned up	The editor cleaned up the rude comments.	remove unacceptable content or behavior	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
36	A	ljt_038b	pv_038	come on	unacceptable	unacceptable	come on	Oh, come on, that is exactly right.	express disbelief or disagreement	discourse_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: requires sincere agreement prosody in audio; carried forward to v3
37	A	ljt_015a	pv_015	put on	acceptable	acceptable	put on	The school put on a play for the visitors.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
38	A	ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	Her clear answer stood out in the interview.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
39	A	ljt_009a	pv_009	get on	acceptable	acceptable	got on	The tourists got on the bus near the station.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
40	A	ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about major changes.	cause something to happen	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
41	A	ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in an expert to solve the problem.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
42	A	ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The evidence ruled out a simple explanation.	exclude a possibility	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
43	A	ljt_035a	pv_035	look back	acceptable	acceptable	looked back	Years later, they looked back on the decision.	think about a past event	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
44	A	ljt_003a	pv_003	give out	acceptable	acceptable	gave out	After the long climb, his knees finally gave out.	stop working properly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
45	A	ljt_037a	pv_037	go down	acceptable	acceptable	went down	The price went down from ten dollars to five.	decrease	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
46	A	ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The truth came out during the trial but remained completely secret.	become known or revealed	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made context more parallel for come out
47	A	ljt_005a	pv_005	take in	acceptable	acceptable	take in	The lecture was too fast to take in.	understand fully	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
48	A	ljt_036b	pv_036	go up	unacceptable	unacceptable	went up	The price went up from ten dollars to five.	increase	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: directional mismatch retained; carried forward to v3
