ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the speaker mid-sentence.	cut off	interrupt someone	none						
ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the speaker before she began.	cut off	interrupt someone	temporal_semantic_mismatch						
ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert to solve the problem.	brought in	ask someone to do a job or task	none						
ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in a headache to solve the problem.	brought in	ask someone to do a job or task	object_semantic_mismatch						
ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning about the danger.	put out	make information public	none						
ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a sandwich about the danger.	put out	make information public	object_semantic_mismatch						
ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the rude comments.	cleaned up	remove unacceptable content or behavior	none						
ljt_025b	pv_025	clean up	unacceptable	unacceptable	The editor cleaned up the honest weather.	cleaned up	remove unacceptable content or behavior	object_semantic_mismatch						
ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the main rules clearly.	set out	present or explain clearly	none						
ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the heavy chairs clearly.	set out	present or explain clearly	object_semantic_mismatch						
ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the task into steps.	broke down	divide into smaller parts	none						
ljt_027b	pv_027	break down	unacceptable	unacceptable	The teacher broke down the task into loud music.	broke down	divide into smaller parts	result_semantic_mismatch						
ljt_028a	pv_028	reach out	acceptable	acceptable	The manager reached out after the complaint.	reached out	contact someone or offer help	none						
ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out by ignoring every message.	reached out	contact someone or offer help	semantic_contradiction						
ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work all semester.	kept up	make something continue	none						
ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the empty cup all semester.	kept up	make something continue	object_semantic_mismatch						
ljt_030a	pv_030	put up	acceptable	acceptable	They put up posters on the classroom wall.	put up	display or attach something	none						
ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up the rain on the classroom wall.	put up	display or attach something	object_semantic_mismatch						
ljt_031a	pv_031	turn around	acceptable	acceptable	The new coach turned around the team.	turned around	make something successful after problems	none						
ljt_031b	pv_031	turn around	unacceptable	unacceptable	The new coach turned around the weather.	turned around	make something successful after problems	object_semantic_mismatch						
ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the main claim.	backed up	support with evidence	none						
ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the wooden chair.	backed up	support with evidence	object_semantic_mismatch						
ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	look outside	none						
ljt_033b	pv_033	look out	unacceptable	unacceptable	She looked out at the silence.	looked out	look outside	object_semantic_mismatch						
ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan to pay for the course.	took out	obtain an official service or document	none						
ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a headache to pay for the course.	took out	obtain an official service or document	object_semantic_mismatch						
ljt_035a	pv_035	look back	acceptable	acceptable	Years later, they looked back on the decision.	looked back	think about a past event	none						
ljt_035b	pv_035	look back	unacceptable	unacceptable	Years later, they looked back on next year.	looked back	think about a past event	temporal_semantic_mismatch						
ljt_036a	pv_036	go up	acceptable	acceptable	The price went up from five dollars to ten.	went up	increase	none						
ljt_036b	pv_036	go up	unacceptable	unacceptable	The price went up from ten dollars to five.	went up	increase	directional_semantic_mismatch						
ljt_037a	pv_037	go down	acceptable	acceptable	The price went down from ten dollars to five.	went down	decrease	none						
ljt_037b	pv_037	go down	unacceptable	unacceptable	The price went down from five dollars to ten.	went down	decrease	directional_semantic_mismatch						
ljt_038a	pv_038	come on	acceptable	acceptable	Oh, come on, that cannot be true.	come on	express disbelief or disagreement	none						
ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, I fully agree with that fact.	come on	express disbelief or disagreement	discourse_semantic_mismatch						
ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in to help with the problem.	came in	become involved	none						
ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in but stayed outside the project.	came in	become involved	semantic_contradiction						
ljt_040a	pv_040	come out	acceptable	acceptable	The truth came out during the trial.	came out	become known or revealed	none						
ljt_040b	pv_040	come out	unacceptable	unacceptable	The truth came out but remained completely secret.	came out	become known or revealed	semantic_contradiction						
ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major changes.	brought about	cause something to happen	none						
ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about no effect at all.	brought about	cause something to happen	semantic_contradiction						
ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the survey in three schools.	carried out	conduct or perform a task	none						
ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the thunderstorm in three schools.	carried out	conduct or perform a task	object_semantic_mismatch						
ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out a simple explanation.	ruled out	exclude a possibility	none						
ljt_043b	pv_043	rule out	unacceptable	unacceptable	The evidence ruled out fraud, so fraud was certain.	ruled out	exclude a possibility	semantic_contradiction						
ljt_044a	pv_044	point out	acceptable	acceptable	The teacher pointed out the error in the essay.	pointed out	draw attention to information	none						
ljt_044b	pv_044	point out	unacceptable	unacceptable	The teacher pointed out the silence on the map.	pointed out	draw attention to information	object_semantic_mismatch						
ljt_045a	pv_045	sum up	acceptable	acceptable	The final paragraph summed up the argument.	summed up	summarize the main points	none						
ljt_045b	pv_045	sum up	unacceptable	unacceptable	The final paragraph summed up the chair.	summed up	summarize the main points	object_semantic_mismatch						
ljt_046a	pv_046	follow up	acceptable	acceptable	The doctor followed up the test with a call.	followed up	take further action after something	none						
ljt_046b	pv_046	follow up	unacceptable	unacceptable	The doctor followed up the test with a cloud.	followed up	take further action after something	object_semantic_mismatch						
ljt_047a	pv_047	lay out	acceptable	acceptable	The introduction laid out the plan for the paper.	laid out	present or arrange clearly	none						
ljt_047b	pv_047	lay out	unacceptable	unacceptable	The introduction laid out the soup for the paper.	laid out	present or arrange clearly	object_semantic_mismatch						
ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the answer after class.	worked out	find or calculate a solution	none						
ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the rain after class.	worked out	find or calculate a solution	object_semantic_mismatch						
