priority	pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	bert_flags	expert_flag	reason	recommendation	acceptable_sentence	unacceptable_sentence
medium	pv_038	come on	ljt_038a	ljt_038b	0.618789792060852	0.8812935948371887	0.32404354170721494	-0.28835439682006836	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: prosody_sensitive; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	Oh, come on, that cannot be true.	Oh, come on, that is exactly right.
low	pv_009	get on	ljt_009a	ljt_009b	0.6762694716453552	0.7050217986106873	-1.1238203342521695	-0.8787723183631897	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The tourists got on the bus near the station.	The tourists got on the bus, but they stayed on the sidewalk.
low	pv_028	reach out	ljt_028a	ljt_028b	0.6617202162742615	0.7102975845336914	0.5409609229407373	-0.20976710319519043	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The manager reached out after the complaint.	The manager reached out by ignoring every message.
low	pv_029	keep up	ljt_029a	ljt_029b	0.7132495641708374	0.7683558464050293	0.4769677335085971	-0.3228433132171631	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She kept up the good work all semester.	She kept up the good work by stopping after one day.
low	pv_011	stand out	ljt_011a	ljt_011b	0.6747649312019348	0.8059762120246887	0.03571496823699105	-2.9438254833221436	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Her clear answer stood out in the interview.	Her ordinary answer stood out as exactly like all the others.
low	pv_014	turn over	ljt_014a	ljt_014b	0.8547805547714233	0.821975588798523	-0.5918898915488493	-0.33562326431274414	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The officer turned over the files to the court.	The officer turned over the files to the court but kept them locked in his desk.
low	pv_044	point out	ljt_044a	ljt_044b	0.7347358465194702	0.829480767250061	-0.7099227587607775	-0.8045740127563477	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The teacher pointed out the error in the essay.	The teacher pointed out the error but never mentioned it.
low	pv_033	look out	ljt_033a	ljt_033b	0.7346515655517578	0.8331339359283447	0.5423535690642893	-0.22041156888008118	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She looked out at the garden.	She looked out at the garden from a room with no window.
low	pv_041	bring about	ljt_041a	ljt_041b	0.7428164482116699	0.8478370308876038	-0.12614827416837215	-0.978553295135498	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The reforms brought about major changes.	The reforms brought about major changes, but nothing changed.
low	pv_001	break off	ljt_001a	ljt_001b	0.9047507047653198	0.8569209575653076	0.13457136652464707	-1.1637517213821411	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	After weeks of argument, the union broke off the talks.	After weeks of argument, the union broke off the talks but kept negotiating without a pause.
low	pv_024	put out	ljt_024a	ljt_024b	0.7508450746536255	0.8735363483428955	-0.9392686995472306	-1.243882417678833	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Police put out a warning about the danger.	Police put out a warning but told no one about it.
low	pv_016	take back	ljt_016a	ljt_016b	0.9229132533073425	0.8922700881958008	-0.13068014106875836	-0.7667942047119141	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The party took back control of the council.	The party took back control, but its opponent still controlled the council.
low	pv_018	pay off	ljt_018a	ljt_018b	0.8984746932983398	0.9008523225784302	-0.5284964844036579	-4.924959421157837	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	Her years of practice paid off in the final match.	Her years of practice paid off by making her lose every match.
low	pv_043	rule out	ljt_043a	ljt_043b	0.905170738697052	0.9293802976608276	-0.29114875076338653	-0.3424701690673828	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The evidence ruled out a simple explanation.	The evidence ruled out a simple explanation, but that explanation was clearly correct.
low	pv_008	move up	ljt_008a	ljt_008b	0.9215044975280762	0.9496570229530334	0.225139694288373	-0.5858757495880127	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She moved up to a senior role last year.	She moved up to a junior role last year.
low	pv_027	break down	ljt_027a	ljt_027b	0.9404863119125366	0.9619313478469849	-0.16976653944437592	-1.3442716598510742	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The teacher broke down the task into steps.	The teacher broke down the task into one large step.
low	pv_036	go up	ljt_036a	ljt_036b	0.9930243492126465	0.9966655969619751	0.20628547684755177	-0.2248384952545166	target_fit_not_higher_for_acceptable	no	masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The price went up from five dollars to ten.	The price went up from ten dollars to five.
