item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	source_material	source_item_or_pair_id	candidate_id	quality_status	review_score_100	score_basis	revision_priority	pair_rationale	notes
cljt_008b	cljt_008	pv_008	move up	move up	unacceptable	unacceptable	moved up	The team moved up to last place.	advance to a higher position	directional_hierarchy_mismatch	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_008b		prelim_pass_native_review_required	100	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	native_review_then_pilot_strong	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
cljt_009a	cljt_009	pv_009	get on	get on	acceptable	acceptable	got on	The researchers got on with the analysis.	continue or proceed with a task	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_009	multi_agent_v2	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both complements are research-domain nouns; analysis is a process one can proceed with, whereas a finding is an outcome rather than a task to get on with.	multi-agent synthesis v2; replaces transparent transport boarding sense with get-on-with task-continuation sense to improve C1 construct fit while retaining the original PV.
cljt_009b	cljt_009	pv_009	get on	get on	unacceptable	unacceptable	got on	The researchers got on with the finding.	continue or proceed with a task	process_outcome_complement_mismatch	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_009	multi_agent_v2	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both complements are research-domain nouns; analysis is a process one can proceed with, whereas a finding is an outcome rather than a task to get on with.	multi-agent synthesis v2; replaces transparent transport boarding sense with get-on-with task-continuation sense to improve C1 construct fit while retaining the original PV.
cljt_010a	cljt_010	pv_010	come along	play out	acceptable	acceptable	played out	The trial played out over two weeks.	develop or unfold over time	none	multi_agent_revision_v1	multi_agent_synthesis_2026-07-04	cljt_010	rep_006;multi_agent_v1	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v1	native_review_then_pilot_strong	Both nouns are legal-domain items; a trial unfolds over time, whereas a verdict is an outcome rather than the unfolding event.	multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
cljt_010b	cljt_010	pv_010	come along	play out	unacceptable	unacceptable	played out	The verdict played out over two weeks.	develop or unfold over time	event_outcome_unfolding_mismatch	multi_agent_revision_v1	multi_agent_synthesis_2026-07-04	cljt_010	rep_006;multi_agent_v1	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v1	native_review_then_pilot_strong	Both nouns are legal-domain items; a trial unfolds over time, whereas a verdict is an outcome rather than the unfolding event.	multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
cljt_011a	cljt_011	pv_011	stand out	stand out	acceptable	acceptable	stood out	One bid stood out among tenders.	be noticeably different or better within a comparison set	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_011	multi_agent_v3	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Bids, tenders, and invoices are procurement-domain documents, but tenders form the relevant comparison set for a bid, whereas invoices do not.	multi-agent synthesis v3; improves essay/pages by using a same-domain procurement comparison set.
cljt_011b	cljt_011	pv_011	stand out	stand out	unacceptable	unacceptable	stood out	One bid stood out among invoices.	be noticeably different or better within a comparison set	comparison_set_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_011	multi_agent_v3	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Bids, tenders, and invoices are procurement-domain documents, but tenders form the relevant comparison set for a bid, whereas invoices do not.	multi-agent synthesis v3; improves essay/pages by using a same-domain procurement comparison set.
cljt_012a	cljt_012	pv_012	pull back	pull back	acceptable	acceptable	pulled back	The investors pulled back from the funding round.	withdraw from an activity, commitment, or planned action	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_012	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both complements are finance-deal nouns; a funding round is an activity or commitment investors can withdraw from, whereas a valuation is a metric or assessment.	multi-agent synthesis v3; improves project/approval pair with a tighter finance-deal near-miss.
cljt_012b	cljt_012	pv_012	pull back	pull back	unacceptable	unacceptable	pulled back	The investors pulled back from the valuation.	withdraw from an activity, commitment, or planned action	withdrawal_activity_metric_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_012	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both complements are finance-deal nouns; a funding round is an activity or commitment investors can withdraw from, whereas a valuation is a metric or assessment.	multi-agent synthesis v3; improves project/approval pair with a tighter finance-deal near-miss.
cljt_013a	cljt_013	pv_013	run out	run out	acceptable	acceptable	ran out	The permit ran out during the audit.	expire or cease to be valid	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_013	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both subjects are regulatory-domain nouns; a permit can expire, whereas an inspection is conducted or completed rather than running out in this validity sense.	multi-agent synthesis v3; retargets run out from resource depletion to expiry to reduce obvious stock/resource cueing.
cljt_013b	cljt_013	pv_013	run out	run out	unacceptable	unacceptable	ran out	The inspection ran out during the audit.	expire or cease to be valid	expiry_object_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_013	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both subjects are regulatory-domain nouns; a permit can expire, whereas an inspection is conducted or completed rather than running out in this validity sense.	multi-agent synthesis v3; retargets run out from resource depletion to expiry to reduce obvious stock/resource cueing.
cljt_014a	cljt_014	pv_014	turn over	turn over	acceptable	acceptable	turned over	The suspect turned over evidence to police.	surrender or transfer material to an authority	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_014	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects are legal-domain nouns; evidence can be surrendered to police, whereas charges are filed, faced, or brought rather than turned over as possessed material.	multi-agent synthesis v3; keeps turn over but sharpens authority-transfer object contrast.
cljt_014b	cljt_014	pv_014	turn over	turn over	unacceptable	unacceptable	turned over	The suspect turned over charges to police.	surrender or transfer material to an authority	surrendered_material_legal_action_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_014	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects are legal-domain nouns; evidence can be surrendered to police, whereas charges are filed, faced, or brought rather than turned over as possessed material.	multi-agent synthesis v3; keeps turn over but sharpens authority-transfer object contrast.
cljt_015a	cljt_015	pv_015	put on	put on	acceptable	acceptable	put on	The gallery put on a retrospective exhibition.	stage or present an event	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_015	multi_agent_v2	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to the arts-program domain; an exhibition is an event/show a gallery can put on, whereas a catalog is a related artifact normally published or produced.	multi-agent synthesis v2; improves theater/ticket pair by using an arts-institution frame that suppresses clothing and application readings.
cljt_015b	cljt_015	pv_015	put on	put on	unacceptable	unacceptable	put on	The gallery put on a retrospective catalog.	stage or present an event	staged_event_artifact_mismatch	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_015	multi_agent_v2	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to the arts-program domain; an exhibition is an event/show a gallery can put on, whereas a catalog is a related artifact normally published or produced.	multi-agent synthesis v2; improves theater/ticket pair by using an arts-institution frame that suppresses clothing and application readings.
cljt_016a	cljt_016	pv_016	take back	take back	acceptable	acceptable	took back	The party took back the seat.	regain control, possession, or a position previously held	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_016	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects belong to election discourse; a party can regain a seat, whereas turnout is a participation measure rather than a position to take back.	multi-agent synthesis v3; replaces sports lead/loss with institutional election-domain contrast.
cljt_016b	cljt_016	pv_016	take back	take back	unacceptable	unacceptable	took back	The party took back the turnout.	regain control, possession, or a position previously held	regained_position_result_measure_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_016	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects belong to election discourse; a party can regain a seat, whereas turnout is a participation measure rather than a position to take back.	multi-agent synthesis v3; replaces sports lead/loss with institutional election-domain contrast.
cljt_017a	cljt_017	pv_017	make out	sort out	acceptable	acceptable	sorted out	The mediator sorted out the scheduling conflict.	resolve_problem_or_understand_cause	none	v2_replacement	PHaVE	v2_007	rep_007	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
cljt_017b	cljt_017	pv_017	make out	sort out	unacceptable	unacceptable	sorted out	The mediator sorted out the scheduling forecast.	resolve_problem_or_understand_cause	wrong_problem_object	v2_replacement	PHaVE	v2_007	rep_007	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
cljt_018a	cljt_018	pv_018	pay off	pay off	acceptable	acceptable	paid off	The firm paid off the loan after restructuring.	settle or finish paying a debt or obligation	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_018	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects are finance-domain nouns; a loan is a payable obligation, whereas a forecast is an estimate and cannot be paid off.	multi-agent synthesis v3; retargets pay off from broad beneficial-success sense to debt-settlement sense for clearer C1 lexical-semantic dependency.
cljt_018b	cljt_018	pv_018	pay off	pay off	unacceptable	unacceptable	paid off	The firm paid off the forecast after restructuring.	settle or finish paying a debt or obligation	payable_obligation_forecast_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_018	multi_agent_v3	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects are finance-domain nouns; a loan is a payable obligation, whereas a forecast is an estimate and cannot be paid off.	multi-agent synthesis v3; retargets pay off from broad beneficial-success sense to debt-settlement sense for clearer C1 lexical-semantic dependency.
cljt_019a	cljt_019	pv_019	get off	get off	acceptable	acceptable	got off	The defendant got off with a warning.	receive no or only light punishment	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_019	multi_agent_v2	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both complements are legal-outcome nouns; a warning fits the lenient-penalty frame, whereas a conviction is the adverse legal outcome rather than something one gets off with.	multi-agent synthesis v2; replaces transparent leave-vehicle sense with legal leniency sense to improve C1 suitability and suppress transport/literal readings.
cljt_019b	cljt_019	pv_019	get off	get off	unacceptable	unacceptable	got off	The defendant got off with a conviction.	receive no or only light punishment	lenient_penalty_outcome_mismatch	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_019	multi_agent_v2	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both complements are legal-outcome nouns; a warning fits the lenient-penalty frame, whereas a conviction is the adverse legal outcome rather than something one gets off with.	multi-agent synthesis v2; replaces transparent leave-vehicle sense with legal leniency sense to improve C1 suitability and suppress transport/literal readings.
cljt_020a	cljt_020	pv_020	turn up	break out	acceptable	acceptable	broke out	A dispute broke out during mediation.	start suddenly, especially an undesirable event	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_020	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both subjects are mediation-domain outcomes or events; a dispute can start suddenly, whereas a settlement is reached or announced rather than breaking out.	multi-agent synthesis v3; replaces turn up because arrival/appearance sense is transparent and competes with increase/found readings.
cljt_020b	cljt_020	pv_020	turn up	break out	unacceptable	unacceptable	broke out	A settlement broke out during mediation.	start suddenly, especially an undesirable event	sudden_event_positive_resolution_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_020	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both subjects are mediation-domain outcomes or events; a dispute can start suddenly, whereas a settlement is reached or announced rather than breaking out.	multi-agent synthesis v3; replaces turn up because arrival/appearance sense is transparent and competes with increase/found readings.
cljt_021a	cljt_021	pv_021	get down	pass on	acceptable	acceptable	passed on	The director passed on the client's message.	communicate_or_circulate_information	none	v2_replacement	PHaVE	v2_008	rep_027	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Message and silence are communication-domain nouns; only a message can normally be passed on.	replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
cljt_021b	cljt_021	pv_021	get down	pass on	unacceptable	unacceptable	passed on	The director passed on the client's silence.	communicate_or_circulate_information	wrong_information_object	v2_replacement	PHaVE	v2_008	rep_027	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Message and silence are communication-domain nouns; only a message can normally be passed on.	replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
cljt_022a	cljt_022	pv_022	cut off	cut off	acceptable	acceptable	cut off	The lender cut off the credit line.	stop providing a supply, service, or access	none	multi_agent_revision_v1	multi_agent_synthesis_2026-07-04	cljt_022	multi_agent_v1	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v1	native_review_then_pilot_strong	Both objects are finance-domain credit nouns; a credit line is an access/resource that can be stopped, whereas a credit rating is an evaluation rather than a supply.	multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
cljt_022b	cljt_022	pv_022	cut off	cut off	unacceptable	unacceptable	cut off	The lender cut off the credit rating.	stop providing a supply, service, or access	resource_access_object_mismatch	multi_agent_revision_v1	multi_agent_synthesis_2026-07-04	cljt_022	multi_agent_v1	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v1	native_review_then_pilot_strong	Both objects are finance-domain credit nouns; a credit line is an access/resource that can be stopped, whereas a credit rating is an evaluation rather than a supply.	multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
cljt_023a	cljt_023	pv_023	bring in	bring in	acceptable	acceptable	brought in	The campaign brought in large donations.	attract or generate income or support	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_023	multi_agent_v2	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to campaign-finance discourse; donations are incoming support that can be brought in, whereas expenses are costs rather than generated income or support.	multi-agent synthesis v2; replaces consultant/consultation role contrast with finance-support sense for stronger C1-level semantic dependency.
cljt_023b	cljt_023	pv_023	bring in	bring in	unacceptable	unacceptable	brought in	The campaign brought in large expenses.	attract or generate income or support	incoming_support_cost_mismatch	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_023	multi_agent_v2	multi_agent_revision_native_review_required	92	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to campaign-finance discourse; donations are incoming support that can be brought in, whereas expenses are costs rather than generated income or support.	multi-agent synthesis v2; replaces consultant/consultation role contrast with finance-support sense for stronger C1-level semantic dependency.
cljt_024a	cljt_024	pv_024	put out	bring out	acceptable	acceptable	brought out	The publisher brought out a revised edition.	release_to_public	none	v2_replacement	PHaVE	v2_009	rep_009	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
cljt_024b	cljt_024	pv_024	put out	bring out	unacceptable	unacceptable	brought out	The publisher brought out a revised appointment.	release_to_public	wrong_release_object	v2_replacement	PHaVE	v2_009	rep_009	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
cljt_025a	cljt_025	pv_025	clean up	throw out	acceptable	acceptable	threw out	The committee threw out the weak proposal.	reject_or_refuse_to_consider	none	v2_replacement	PHaVE	v2_010	rep_010	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
cljt_025b	cljt_025	pv_025	clean up	throw out	unacceptable	unacceptable	threw out	The committee threw out the weak agenda.	reject_or_refuse_to_consider	wrong_rejection_object	v2_replacement	PHaVE	v2_010	rep_010	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
cljt_026a	cljt_026	pv_026	set out	set out	acceptable	acceptable	set out	The contract set out the payment terms.	state or present clearly in a document	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_026	multi_agent_v2	multi_agent_revision_native_review_required	93	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to payment-document discourse; terms are stipulated content a contract can set out, whereas receipts are transaction records rather than rules or conditions.	multi-agent synthesis v2; improves procedure/appendix pair with tighter same-domain payment contrast and low alternate-sense risk.
cljt_026b	cljt_026	pv_026	set out	set out	unacceptable	unacceptable	set out	The contract set out the payment receipts.	state or present clearly in a document	stipulated_content_record_mismatch	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_026	multi_agent_v2	multi_agent_revision_native_review_required	93	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects belong to payment-document discourse; terms are stipulated content a contract can set out, whereas receipts are transaction records rather than rules or conditions.	multi-agent synthesis v2; improves procedure/appendix pair with tighter same-domain payment contrast and low alternate-sense risk.
cljt_027a	cljt_027	pv_027	break down	break down	acceptable	acceptable	broke down	The manager broke down the project budget.	divide into parts or analyze in detail	none	multi_agent_revision_v2	multi_agent_synthesis_2026-07-04_round2	cljt_027	multi_agent_v2	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v2	native_review_then_pilot_strong	Both objects are project-management nouns; a budget can be itemized or analyzed into parts, whereas a deadline is a time point rather than a decomposable object in this frame.	multi-agent synthesis v2; keeps original PV but replaces sports play/whistle with a stronger project-management near-miss.
