ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	word_count	has_overt_cue	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_027b	pv_027	break down	unacceptable	unacceptable	The teacher broke down the applause.	broke down	divide into smaller parts	object_selection_mismatch	6	false						
ljt_028a	pv_028	reach out	acceptable	acceptable	The manager reached out to clients.	reached out	contact someone or offer help	none	6	false						
ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out to deadlines.	reached out	contact someone or offer help	recipient_selection_mismatch	6	false						
ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work.	kept up	make something continue	none	6	false						
ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the heavy claim.	kept up	make something continue	object_selection_mismatch	6	false						
ljt_030a	pv_030	put up	acceptable	acceptable	They put up posters downtown.	put up	display or attach something	none	5	false						
ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up music downtown.	put up	display or attach something	object_selection_mismatch	5	false						
ljt_031a	pv_031	turn around	acceptable	acceptable	The coach turned around the team.	turned around	make something successful after problems	none	6	false						
ljt_031b	pv_031	turn around	unacceptable	unacceptable	The coach turned around the deadline.	turned around	make something successful after problems	object_selection_mismatch	6	false						
ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the claim.	backed up	support with evidence	none	6	false						
ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the deadline.	backed up	support with evidence	object_selection_mismatch	6	false						
ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	look outside	none	6	false						
ljt_033b	pv_033	look out	unacceptable	unacceptable	She looked out at the deadline.	looked out	look outside	object_selection_mismatch	6	false						
ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan yesterday.	took out	obtain an official service or document	none	6	false						
ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a deadline yesterday.	took out	obtain an official service or document	object_selection_mismatch	6	false						
ljt_035a	pv_035	look back	acceptable	acceptable	They looked back on the decision.	looked back	think about a past event	none	6	false						
ljt_035b	pv_035	look back	unacceptable	unacceptable	They looked back on the ceiling.	looked back	think about a past event	object_selection_mismatch	6	false						
ljt_036a	pv_036	go up	acceptable	acceptable	The rent went up sharply.	went up	increase	none	5	false						
ljt_036b	pv_036	go up	unacceptable	unacceptable	The advice went up sharply.	went up	increase	subject_selection_mismatch	5	false						
ljt_037a	pv_037	go down	acceptable	acceptable	The rent went down sharply.	went down	decrease	none	5	false						
ljt_037b	pv_037	go down	unacceptable	unacceptable	The advice went down sharply.	went down	decrease	subject_selection_mismatch	5	false						
ljt_038a	pv_038	come on	acceptable	acceptable	Oh, come on, that sounds impossible.	come on	express disbelief or disagreement	none	6	false						
ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, that sounds accurate.	come on	express disbelief or disagreement	discourse_semantic_mismatch	6	false						
ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in during planning.	came in	become involved	none	5	false						
ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in during deadline.	came in	become involved	context_selection_mismatch	5	false						
ljt_040a	pv_040	come out	acceptable	acceptable	The truth came out during interviews.	came out	become known or revealed	none	6	false						
ljt_040b	pv_040	come out	unacceptable	unacceptable	The furniture came out during interviews.	came out	become known or revealed	context_selection_mismatch	6	false						
ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major change.	brought about	cause something to happen	none	6	false						
ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about major furniture.	brought about	cause something to happen	object_selection_mismatch	6	false						
ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the survey.	carried out	conduct or perform a task	none	6	false						
ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the deadline.	carried out	conduct or perform a task	object_selection_mismatch	6	false						
ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out that explanation.	ruled out	exclude a possibility	none	6	false						
ljt_043b	pv_043	rule out	unacceptable	unacceptable	The evidence ruled out that deadline.	ruled out	exclude a possibility	object_selection_mismatch	6	false						
ljt_044a	pv_044	point out	acceptable	acceptable	The teacher pointed out the error.	pointed out	draw attention to information	none	6	false						
ljt_044b	pv_044	point out	unacceptable	unacceptable	The pencil pointed out the error.	pointed out	draw attention to information	subject_selection_mismatch	6	false						
ljt_045a	pv_045	sum up	acceptable	acceptable	The paragraph summed up the argument.	summed up	summarize the main points	none	6	false						
ljt_045b	pv_045	sum up	unacceptable	unacceptable	The paragraph summed up the deadline.	summed up	summarize the main points	object_selection_mismatch	6	false						
ljt_046a	pv_046	follow up	acceptable	acceptable	The nurse followed up after surgery.	followed up	take further action after something	none	6	false						
ljt_046b	pv_046	follow up	unacceptable	unacceptable	The nurse followed up after furniture.	followed up	take further action after something	context_selection_mismatch	6	false						
ljt_047a	pv_047	lay out	acceptable	acceptable	The chart laid out the plan.	laid out	present or arrange clearly	none	6	false						
ljt_047b	pv_047	lay out	unacceptable	unacceptable	The chart laid out the spoon.	laid out	present or arrange clearly	object_selection_mismatch	6	false						
ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the answer.	worked out	find or calculate a solution	none	6	false						
ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the carpet.	worked out	find or calculate a solution	object_selection_mismatch	6	false						
