trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	v6_pool_status	candidate_gate_status	pair_rationale	notes
11	B	ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the analysis.	conduct or perform a task	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	v6 candidate: pre-audio expert review required; do not record yet
12	B	ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the prisoner.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet
13	B	ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about evidence.	cause something to happen	causal_result_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.	v6 candidate: pre-audio expert review required; do not record yet
14	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The abstract summed up the heading.	summarize the main points	summary_object_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.	v6 candidate: pre-audio expert review required; do not record yet
15	B	ljt_019a	pv_019	get off	acceptable	acceptable	got off	The passengers got off the ferry.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.	v6 candidate: pre-audio expert review required; do not record yet
16	B	ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the equation.	find or calculate a solution	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	v6 candidate: pre-audio expert review required; do not record yet
17	B	ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	The witness turned up at testimony.	arrive or appear	appearance_location_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.	v6 candidate: pre-audio expert review required; do not record yet
18	B	ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The nurse reached out to patients.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.	v6 candidate: pre-audio expert review required; do not record yet
19	B	ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The doctor ruled out symptoms.	exclude a possibility	diagnostic_possibility_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.	v6 candidate: pre-audio expert review required; do not record yet
20	B	ljt_009a	pv_009	get on	acceptable	acceptable	got on	The passengers got on the train.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.	v6 candidate: pre-audio expert review required; do not record yet
21	B	ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The clerk turned over the records to police.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.	v6 candidate: pre-audio expert review required; do not record yet
22	B	ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	The team moved up to last place.	advance to a higher position	directional_hierarchy_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet
23	B	ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in a consultation.	ask someone to do a job or task	recruitment_role_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.	v6 candidate: pre-audio expert review required; do not record yet
24	B	ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The doctor followed up after the treatment.	take further action after something	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.	v6 candidate: pre-audio expert review required; do not record yet
25	B	ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	Investors pulled back from the project.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.	v6 candidate: pre-audio expert review required; do not record yet
26	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The theater put on a ticket.	present or stage an event	event_staging_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.	v6 candidate: pre-audio expert review required; do not record yet
27	B	ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the conclusion.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.	v6 candidate: pre-audio expert review required; do not record yet
28	B	ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	The invoice paid off quickly.	become successful or beneficial	finance_domain_subject_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.	v6 candidate: pre-audio expert review required; do not record yet
29	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The coach turned around the defeat.	make something successful after problems	improvement_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.	v6 candidate: pre-audio expert review required; do not record yet
30	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The diagram laid out the footnote.	present or arrange clearly	information_organization_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.	v6 candidate: pre-audio expert review required; do not record yet
