trial_order	phase	task	item_id	pv	prompt_sentence	option_a	option_b	option_c	option_d	correct_response	source_material	notes
22	main	orthographic_pv_meaning_recognition	ortho_010	come along	A rare opportunity came along during the project.	return to a place	increase in value	go somewhere with someone	appear or arrive	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
23	main	orthographic_pv_meaning_recognition	ortho_019	get off	The children got off the train at the last stop.	begin in a certain way	lower the body	leave a vehicle	avoid punishment	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
24	main	orthographic_pv_meaning_recognition	ortho_024	put out	Police put out a warning about the stolen cars.	extinguish a fire	make information public	place something for use	tolerate something unpleasant	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
25	main	orthographic_pv_meaning_recognition	ortho_011	stand out	Her careful analysis stood out from the other reports.	surrender control	be noticeable or impressive	be outside a building	delay a decision	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
26	main	orthographic_pv_meaning_recognition	ortho_013	run out	We ran out of coffee before the meeting ended.	use all of something so none is left	avoid serious trouble	begin in a certain way	leave suddenly	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
27	main	orthographic_pv_meaning_recognition	ortho_002	hand over	The officer asked him to hand over the documents.	give control or possession to someone	continue doing an activity	explain something clearly	become known	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
28	main	orthographic_pv_meaning_recognition	ortho_028	reach out	The manager reached out after the complaint.	increase in value	return to a place	contact someone or offer help	stretch an arm outward	C	Sonbul_ElDakhs_2024_supplement	revised sentence to avoid overt preposition after PV; correct-position balanced in v2
29	main	orthographic_pv_meaning_recognition	ortho_003	give out	After years of use, the old engine finally gave out.	distributed something to many people	revealed private information	moved to a higher position	stopped working properly	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
30	main	orthographic_pv_meaning_recognition	ortho_004	put in	She put in many hours preparing the report.	tolerate something unpleasant	return to a previous state	insert something into a form	devote time or effort	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
31	main	orthographic_pv_meaning_recognition	ortho_018	pay off	Her years of practice paid off in the final match.	repay a debt	become successful or beneficial	give something back	interrupt someone	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
32	main	orthographic_pv_meaning_recognition	ortho_009	get on	He got on the bus near the station.	continue doing something	avoid punishment	board a vehicle	arrive unexpectedly	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
33	main	orthographic_pv_meaning_recognition	ortho_017	make out	I could barely make out the sign in the dark.	summarize briefly	represent falsely	succeed in a difficult situation	see or hear with difficulty	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
34	main	orthographic_pv_meaning_recognition	ortho_047	lay out	The introduction lays out the plan for the paper.	present or arrange clearly	postpone a decision	put something flat outside	spend money	A	S&AW_PHaVE	academic extension; correct-position balanced in v2
35	main	orthographic_pv_meaning_recognition	ortho_038	come on	Oh, come on, that cannot be true.	arrive at a place	encourage someone	express disbelief or disagreement	start operating	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
36	main	orthographic_pv_meaning_recognition	ortho_021	get down	Get down before they see you.	lower the body	begin serious work	become sad	board a vehicle	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
37	main	orthographic_pv_meaning_recognition	ortho_034	take out	He took out a loan to pay for the course.	invite someone to a social event	obtain an official service or document	make something public	remove from a container	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
38	main	orthographic_pv_meaning_recognition	ortho_032	back up	The data back up the main claim.	delay a decision	support with evidence	reverse a vehicle	make a computer copy	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
39	main	orthographic_pv_meaning_recognition	ortho_040	come out	The truth came out during the interview.	be released to the public	become known or revealed	say something publicly	leave a place	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
40	main	orthographic_pv_meaning_recognition	ortho_030	put up	They put up posters on the classroom wall.	build something	display or attach something	tolerate something unpleasant	increase the price	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
41	main	orthographic_pv_meaning_recognition	ortho_027	break down	The teacher broke down the problem into smaller steps.	stop working	lose emotional control	divide into parts	chemically decompose	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
42	main	orthographic_pv_meaning_recognition	ortho_025	clean up	The company cleaned up its advertising after many complaints.	win a large amount of money	move to a higher position	remove dirt or mess	remove unacceptable content or behavior	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
43	main	orthographic_pv_meaning_recognition	ortho_014	turn over	The suspect was turned over to the police.	give control or possession to an authority	end a discussion	turn to the other side	improve a bad situation	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
44	main	orthographic_pv_meaning_recognition	ortho_029	keep up	Keep up the good work.	make something continue	make a copy	move at the same speed	stay awake	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
45	main	orthographic_pv_meaning_recognition	ortho_016	take back	The party tried to take back control of the council.	remove something from a container	exclude a possibility	take someone to a previous place	regain control or possession	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
46	main	orthographic_pv_meaning_recognition	ortho_006	sit back	We cannot sit back while the problem gets worse.	take no action	sit in a comfortable position	arrive unexpectedly	lower the body	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
47	main	orthographic_pv_meaning_recognition	ortho_031	turn around	The new plan turned around the company.	return to an earlier place	produce a document	make something successful after problems	face the opposite direction	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
48	main	orthographic_pv_meaning_recognition	ortho_036	go up	Rents went up sharply last year.	move upstairs	explode	start a journey	increase	D	Sonbul_ElDakhs_2024_supplement	revised tense; correct-position balanced in v2
49	main	orthographic_pv_meaning_recognition	ortho_041	bring about	The reforms brought about major changes.	cause something to happen	support with evidence	carry something near	return something	A	S&AW_PHaVE	academic extension; correct-position balanced in v2
50	main	orthographic_pv_meaning_recognition	ortho_001	break off	Following a disagreement, the committee broke off the talks.	increase in amount	put on a piece of clothing	return to an earlier place	end something such as talks or a relationship	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
51	main	orthographic_pv_meaning_recognition	ortho_015	put on	The school put on a concert for the visitors.	wear clothing	increase the volume	devote effort	present or stage an event	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
52	main	orthographic_pv_meaning_recognition	ortho_020	turn up	He turned up late for the meeting.	arrive or appear	face the opposite direction	increase the volume	be found during a search	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
