trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	v6_pool_status	candidate_gate_status	pair_rationale	notes
13	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the hypothesis.	conduct or perform a task	research_task_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	v6 candidate: pre-audio expert review required; do not record yet
14	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The clerk turned over the permission to police.	give control or possession to an authority	authority_transfer_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.	v6 candidate: pre-audio expert review required; do not record yet
15	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The review pointed out the appendix.	draw attention to information	information_object_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.	v6 candidate: pre-audio expert review required; do not record yet
16	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	Investors pulled back from the approval.	withdraw from an activity	same_domain_complement_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.	v6 candidate: pre-audio expert review required; do not record yet
17	A	ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	The investment paid off quickly.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.	v6 candidate: pre-audio expert review required; do not record yet
18	A	ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The passengers got off the terminal.	leave a vehicle	transport_anchor_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.	v6 candidate: pre-audio expert review required; do not record yet
19	A	ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	The witness turned up at court.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.	v6 candidate: pre-audio expert review required; do not record yet
20	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the arrest.	give control or possession to someone	same_domain_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet
21	A	ljt_015a	pv_015	put on	acceptable	acceptable	put on	The theater put on a musical.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.	v6 candidate: pre-audio expert review required; do not record yet
22	A	ljt_008a	pv_008	move up	acceptable	acceptable	moved up	The team moved up to first place.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet
23	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the pencil.	find or calculate a solution	problem_solving_object_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	v6 candidate: pre-audio expert review required; do not record yet
24	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the topic abruptly.	interrupt someone	interaction_participant_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_review_required	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.	v6 candidate: pre-audio expert review required; do not record yet
25	A	ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The diagram laid out the process.	present or arrange clearly	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.	v6 candidate: pre-audio expert review required; do not record yet
26	A	ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The abstract summed up the study.	summarize the main points	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.	v6 candidate: pre-audio expert review required; do not record yet
27	A	ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The nurse reached out to symptoms.	contact someone or offer help	recipient_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.	v6 candidate: pre-audio expert review required; do not record yet
28	A	ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	One essay stood out among submissions.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.	v6 candidate: pre-audio expert review required; do not record yet
29	A	ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The coach turned around the season.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.	v6 candidate: pre-audio expert review required; do not record yet
30	A	ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The doctor followed up after the thermometer.	take further action after something	follow_up_event_mismatch	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.	v6 candidate: pre-audio expert review required; do not record yet
