material_set,source,pv,sense_no,meaning,sentence,sense_frequency_coca,opacity_1_transparent_7_opaque,design_category,register_focus,notes
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,take back,1,Regain possession or control over STH,The politician’s ultimate goal is to take back the Senate.,2160.42,3.6,regain_control,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,make out,3,See or hear with difficulty,I could barely make out his face in the dark.,4052.29,4.4,perceptual_difficulty,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,pay off,1,Pay back the effort spent in doing STH by becoming profitable or effective,All the hard work will pay off in the end.,3403.25,3.5,outcome_payoff,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,get off,3,"Go away from, leave (train, bus, aircraft, lift)",You need to take the bus and get off at the third stop.,3884.22,1.4,transport_anchor,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,turn up,1,Arrive or make an appearance somewhere,He turned up to the meeting half an hour late.,1052.52,4.8,appearance,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,get down,2,"Lower one's body as by kneeling, sitting or lying",Get down on your knees so you can get a better view.,1694.25,1.2,body_position_anchor,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,cut off,2,Interrupt SB as they are speaking,The teacher cut off the student in the middle of her sentence.,1848.28,5,interaction_interrupt,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,bring in,1,Ask SB to do a particular job or task,He had been brought in to save the company.,2492.16,1.6,hire_recruit,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,put out,3,"Make STH known or accessible to the public (information, products)",Police have put out a warning about thieves in the area.,3899.59,3.1,public_release,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,clean up,1,"Make STH free from dangerous, unacceptable or controversial activities or contents",He was asked to clean up his language during the interview.,1827.76,4.3,moral_sanitizing,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,set out,1,"Explain or present STH clearly, esp. officially and in writing",The official recommendations were set out in the document.,1337.92,5.5,academic_present,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,break down,3,Divide or separate into categories or smaller components so as to make it easier to understand or deal with,Let’s break down the task into three easy steps.,1755.60,2.5,analysis_decompose,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,reach out,1,"Make an effort to address or communicate with SB, so as to help them or involve them in STH",The manager reached out after the complaint.,3903.39,3.0,communicative_outreach,general,revised to align with recognition and LJT target sense
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,keep up,1,Make STH continue,This is amazing; keep up the good work!,3459.95,3.2,continuation_anchor,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,put up,3,Display or attach STH (e.g. to a wall) so it can be seen,They put up a few posters on the wall.,2456.17,1.7,display_attach,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,turn around,2,"Make STH become better or more successful than it previously was (economy, business)",People have stopped believing the President could turn around the economy.,2793.49,4.8,improvement,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,back up,1,Establish as valid or genuine,You have to back up your accusations with solid evidence.,2345.41,3.7,support_evidence,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,look out,2,"Look outside, or at the horizon",She liked to go by the window and look out at the garden.,6499.86,1.8,visual_direction_anchor,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,take out,1,Obtain an official document or service from an authority,I had to take out a loan to cover all my expenses.,1777.88,3.2,official_service,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,look back,2,"Think of STH again, reconsider STH past",He closed the dictionary and looked back to his notes.,7551.23,3,return_attention_anchor,general,source sentence/definition should be checked; likely use revised final sentence
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,go up,2,Become higher in value; increase,Oil prices have gone up last year.,9424.95,2,increase,general,revise tense in final item sentence
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,go down,2,Decrease in value or amount,I don’t think prices will go down.,5425.92,3,decrease,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,come on,1,"Said to show SB disbelief, disagreement, or anger","Oh come on, you’re just lying to me!",4073.55,5.1,discourse_marker,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,come in,1,Become involved in a situation,We need experts to come in and give us advice.,4257.12,2.1,become_involved,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,come out,1,Become known or revealed after being kept secret,The news came out that he was leaving the team.,4929.26,2.2,revelation,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
academic_extension_strict_two_word,S&AW_PHaVE,bring about,1,"Cause to happen or emerge, especially something positive",This government decision will bring about many important changes.,,,academic_causation,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,carry out,1,"Conduct, perform, or complete a task, plan, study, or duty",The researchers carried out the survey in three schools.,,,academic_procedure,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,rule out,1,Exclude something as impossible or unsuitable,The evidence ruled out a simple explanation for the results.,,,academic_exclusion,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,point out,1,"Direct attention to a fact, idea, or piece of information",The author pointed out several problems with the earlier study.,,,academic_discourse,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,sum up,1,Summarize the main points of something,The final paragraph sums up the main findings of the study.,,,academic_summary,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,follow up,1,Take further action after something has started or been reported,The team followed up the interview with a short questionnaire.,,,academic_follow_up,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,lay out,1,Present or arrange information clearly,The introduction lays out the main questions of the paper.,,,academic_organization,academic,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
academic_extension_strict_two_word,S&AW_PHaVE,work out,1,"Find, calculate, or understand a solution",The students worked out the answer after comparing the two graphs.,,,problem_solving,academic_general,S&AW PHaVE academic/general extension; add corpus frequency/opacity later if available
