candidate_id	replacement_for_pv_id	replacement_for_pv	candidate_pv	candidate_sense	source	source_rank_or_frequency	sense_share_or_frequency	preliminary_priority	construct_fit_1_4	near_miss_feasibility_1_4	polysemy_risk_1_4	audio_risk_1_4	c1_fit_1_4	near_miss_design_note	risk_note
rep_011	pv_029	keep up	carry on	continue doing or being involved despite difficulty	PHaVE	rank_100	66_percent	primary	3	3	2	1	3	Use continuation contexts such as team carried on working vs team carried on result.	Common and stable; may be slightly easy for C1.
rep_012	pv_033	look out	open up	make opportunities access or possibilities available	PHaVE	rank_48	42_5_percent	primary	4	4	3	1	4	Use opportunity/access contexts such as policy opened up options vs policy opened up objections.	Also literal open; abstract object required.
rep_013	pv_035	look back	move on	start a new topic/activity or recover from difficulty	PHaVE	rank_50	42_percent_or_25_percent	primary	4	3	3	1	4	Use discourse transition contexts such as chair moved on to budget vs chair moved on to evidence.	Select discourse-transition sense; avoid emotional recovery unless targeted.
rep_014	pv_036	go up	build up	increase or strengthen progressively	PHaVE	rank_84	76_percent	primary	3	3	3	1	3	Use accumulation contexts such as tension built up before vote vs tension built up the memo.	Increase sense can still be cueable; near-miss must avoid simple quantity reversal.
rep_015	pv_037	go down	shut down	stop a machine business system or process operating	PHaVE	rank_66	87_percent	primary	4	4	2	1	4	Use institutional or technical contexts such as agency shut down program vs agency shut down reason.	Can be literal computer action; choose abstract organization/process object.
rep_016	pv_038	come on	turn down	refuse or reject offer request opportunity	PHaVE	rank_94	82_5_percent	primary	4	4	2	1	4	Use offer/opportunity/request contexts such as board turned down proposal vs board turned down evidence.	Also volume-control sense exists but is easily blocked.
rep_017	pv_039	come in	take over	gain control management or responsibility	PHaVE	rank_37	96_5_percent	primary	4	4	2	1	4	Use control/responsibility contexts such as deputy took over project vs deputy took over advice.	Very stable; ensure object is controllable responsibility or organization.
rep_018	any	any	set up	establish create or arrange something	PHaVE	rank_11	64_5_percent	backup	4	4	2	1	4	Use organization or arrangement contexts such as team set up committee vs team set up conclusion.	Also physical placement; abstract institutional object should block.
rep_019	any	any	take on	undertake role task responsibility problem or issue	PHaVE	rank_15	42_percent	backup	4	4	3	1	4	Use responsibility contexts such as analyst took on project vs analyst took on evidence.	Also acquire property sense; object selection must block.
rep_020	any	any	take over	gain control management or possession	PHaVE	rank_37	96_5_percent	backup	4	4	2	1	4	Use management transfer contexts such as firm took over contract vs firm took over statistic.	Do not duplicate if selected as primary.
rep_021	any	any	bring up	raise for discussion or consideration	PHaVE	rank_45	59_5_percent	backup	4	4	2	1	4	Use meeting/discussion contexts such as senator brought up issue vs senator brought up outcome.	Also child-rearing sense; meeting context blocks.
rep_022	any	any	wind up	end up in a particular situation, often unexpectedly	PHaVE	rank_69	87_percent	backup	3	3	3	1	4	Use outcome contexts such as company wound up paying fees vs company wound up the evidence.	Can also mean close company or tighten toy; context must block.
rep_023	any	any	go through	experience a difficult process or be approved	PHaVE	rank_76	61_percent_or_10_percent	backup	4	3	3	1	4	Use difficult-experience sense with person/institution subject, or approval sense with bill/proposal subject.	Must select one sense only; approval sense may be highly domain-specific.
rep_024	any	any	hold up	delay or prevent progress	PHaVE	rank_38	11_5_percent	backup	4	4	3	1	4	Use traffic/process contexts such as dispute held up talks vs dispute held up summary.	Also physical holding and durability senses; context must be procedural.
rep_025	any	any	get through	be successfully communicated or understood	PHaVE	rank_117	22_5_percent	backup	4	3	3	1	4	Use communication contexts such as message got through to audience vs message got through to deadline.	Can mean phone contact or overcome difficulty; target sense must be explicit in notes.
rep_026	any	any	fill out	complete a form or official document	PHaVE	rank_121	81_5_percent	backup	3	4	1	1	3	Use official document contexts such as applicant filled out form vs applicant filled out policy.	Stable but may be too easy for C1 unless used as low-anchor item.
rep_027	any	any	pass on	communicate information or transmit tradition	PHaVE	rank_133	37_5_percent_or_37_percent	backup	4	3	3	1	4	Use information-transfer contexts such as manager passed on message vs manager passed on silence.	Also euphemism die; avoid human subject without object.
rep_028	any	any	set off	cause event reaction alarm or dispute to start	PHaVE	rank_101	25_5_percent	backup	4	4	3	1	4	Use causation contexts such as comment set off debate vs comment set off report.	Also travel/departure and alarm senses; context must target causation.
rep_029	any	any	bring down	reduce level or cause loss of power/status	PHaVE	rank_110	26_percent_or_25_percent	backup	4	3	3	1	4	Use rate/power contexts such as scandal brought down minister vs scandal brought down estimate.	Physical downward sense must be blocked.
rep_030	any	any	put off	delay until later	PHaVE	rank_146	68_percent	backup	4	4	2	1	4	Use scheduling contexts such as board put off vote vs board put off evidence.	Also cause dislike; scheduling context blocks.
rep_031	any	any	come about	happen or occur unexpectedly	PHaVE	rank_147	81_5_percent	backup	3	3	2	1	3	Use causal/explanatory contexts such as change came about gradually vs change came about report.	May be broad and slightly easy; use only if final list needs event-process items.
rep_032	any	any	close down	stop a business service or organization operating	PHaVE	rank_148	87_percent	backup	4	4	1	1	3	Use institutional contexts such as city closed down clinic vs city closed down reason.	Stable but may overlap with shut down.
rep_033	any	any	fill in	provide missing information to someone	PHaVE	rank_141	29_5_percent	backup	4	3	3	1	4	Use information-update contexts such as assistant filled in director on plan vs assistant filled in director on chair.	Also temporary replacement and material-fill senses; syntax must target information sense.
rep_034	any	any	come around	convert to an opinion or decision	PHaVE	rank_140	22_percent	backup	3	3	3	1	4	Use opinion-change contexts such as committee came around to proposal vs committee came around to schedule.	Also visit and recurring-event senses; context must block.
rep_035	any	any	break out	start suddenly, especially undesirable event	PHaVE	rank_114	69_5_percent	backup	3	3	2	1	3	Use event onset contexts such as protests broke out downtown vs protests broke out policy.	May be event-type cueable; use cautiously.
rep_036	any	any	walk out	leave meeting or event suddenly or angrily	PHaVE	rank_116	81_5_percent	backup	3	3	2	1	3	Use meeting/protest contexts such as delegates walked out of talks vs delegates walked out of conclusion.	Physical leaving is part of sense; may be too transparent.
rep_037	any	any	go around	circulate, especially rumor or information	PHaVE	rank_115	76_percent	backup	3	3	3	1	3	Use information-circulation contexts such as rumor went around campus vs rumor went around deadline.	May rely on subject type; avoid if near-miss is too noun-category based.
rep_038	any	any	come off	appear or seem in a particular way	PHaVE	rank_132	24_5_percent	backup	4	3	3	1	4	Use impression contexts such as speaker came off confident vs speaker came off conclusion.	Also detach and finish-season senses; context must target impression.
rep_039	any	any	throw out	make someone leave an organization or reject something	PHaVE	rank_85	21_percent_or_29_percent	backup	4	4	2	1	4	Use authority contexts; choose reject-object sense or expel-person sense, not both.	Do not duplicate if selected as primary.
rep_040	any	any	build up	increase or strengthen progressively	PHaVE	rank_84	76_percent	backup	3	3	3	1	3	Use accumulation contexts such as pressure built up during talks vs pressure built up agreement.	Do not duplicate if selected as primary.
