draft_pair_id	candidate_id	replaced_pv_id	replaced_pv	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	pair_rationale	self_review_score_100	status	risk_note
draft_007	rep_007	pv_017	make out	sort out	unacceptable	unacceptable	sorted out	The team sorted out the scheduling forecast.	resolve_problem_or_understand_cause	wrong_problem_object	Conflict and forecast are scheduling-domain nouns; forecast is not normally solved or resolved.	84	minor_revision_needed	Clarify whether target sense is resolve problem or understand cause.
draft_008	rep_008	pv_021	get down	go over	acceptable	acceptable	went over	The lawyer went over the contract carefully.	examine_in_detail	none	Contract and defendant are legal-domain complements, but defendant creates an animacy/object cue.	70	replace_or_major_revision	Unacceptable item is too close to broad object-category oddness.
draft_008	rep_008	pv_021	get down	go over	unacceptable	unacceptable	went over	The lawyer went over the defendant carefully.	examine_in_detail	wrong_review_object	Contract and defendant are legal-domain complements, but defendant creates an animacy/object cue.	70	replace_or_major_revision	Unacceptable item is too close to broad object-category oddness.
draft_009	rep_009	pv_024	put out	bring out	acceptable	acceptable	brought out	The publisher brought out a revised edition.	release_to_public	none	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	86	minor_revision_needed	Select release sense only; avoid make-quality-noticeable sense.
draft_009	rep_009	pv_024	put out	bring out	unacceptable	unacceptable	brought out	The publisher brought out a revised appointment.	release_to_public	wrong_release_object	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	86	minor_revision_needed	Select release sense only; avoid make-quality-noticeable sense.
draft_010	rep_010	pv_025	clean up	throw out	acceptable	acceptable	threw out	The committee threw out the weak proposal.	reject_or_refuse_to_consider	none	Proposal and agenda are meeting-domain objects; agenda is not normally rejected in the same sense.	86	minor_revision_needed	Check whether throw out the agenda can mean discard/cancel agenda.
draft_010	rep_010	pv_025	clean up	throw out	unacceptable	unacceptable	threw out	The committee threw out the weak agenda.	reject_or_refuse_to_consider	wrong_rejection_object	Proposal and agenda are meeting-domain objects; agenda is not normally rejected in the same sense.	86	minor_revision_needed	Check whether throw out the agenda can mean discard/cancel agenda.
draft_011	rep_011	pv_029	keep up	carry on	acceptable	acceptable	carried on	The researchers carried on despite the setback.	continue_despite_difficulty	none	Setback and summary are research-domain nouns, but the unacceptable may be solved from discourse plausibility rather than PV knowledge.	76	major_revision_needed	Intransitive carry on with despite phrase may not isolate the PV sense enough.
draft_011	rep_011	pv_029	keep up	carry on	unacceptable	unacceptable	carried on	The researchers carried on despite the summary.	continue_despite_difficulty	wrong_obstacle_context	Setback and summary are research-domain nouns, but the unacceptable may be solved from discourse plausibility rather than PV knowledge.	76	major_revision_needed	Intransitive carry on with despite phrase may not isolate the PV sense enough.
draft_012	rep_012	pv_033	look out	open up	acceptable	acceptable	opened up	The policy opened up new opportunities.	make_available_or_possible	none	Opportunities and objections are policy-domain outcomes; objections may be caused but not normally opened up.	84	minor_revision_needed	Native review needed for open up objections.
draft_012	rep_012	pv_033	look out	open up	unacceptable	unacceptable	opened up	The policy opened up new objections.	make_available_or_possible	wrong_possibility_object	Opportunities and objections are policy-domain outcomes; objections may be caused but not normally opened up.	84	minor_revision_needed	Native review needed for open up objections.
draft_013	rep_013	pv_035	look back	move on	acceptable	acceptable	moved on	The chair moved on to the budget.	transition_to_new_topic	none	Budget and microphone are meeting-domain objects, but microphone creates a broad object cue.	68	replace_or_major_revision	Move on remains hard to make unacceptable without object-category cues.
draft_013	rep_013	pv_035	look back	move on	unacceptable	unacceptable	moved on	The chair moved on to the microphone.	transition_to_new_topic	wrong_topic_object	Budget and microphone are meeting-domain objects, but microphone creates a broad object cue.	68	replace_or_major_revision	Move on remains hard to make unacceptable without object-category cues.
draft_014	rep_014	pv_036	go up	build up	acceptable	acceptable	built up	Support slowly built up before the election.	accumulate_or_strengthen_progressively	none	Support and summary are political-domain nouns, but the unacceptable relies on subject suitability.	70	replace_or_major_revision	Build up may recreate increase/object-category cue problems.
draft_014	rep_014	pv_036	go up	build up	unacceptable	unacceptable	built up	The summary slowly built up before the election.	accumulate_or_strengthen_progressively	wrong_accumulating_subject	Support and summary are political-domain nouns, but the unacceptable relies on subject suitability.	70	replace_or_major_revision	Build up may recreate increase/object-category cue problems.
draft_015	rep_015	pv_037	go down	shut down	acceptable	acceptable	shut down	The agency shut down the program.	stop_operating_or_functioning	none	Program and reason are institutional-domain nouns; reason is not an operation that can be shut down.	88	minor_revision_needed	Strong candidate; check whether reason is too obviously wrong.
draft_015	rep_015	pv_037	go down	shut down	unacceptable	unacceptable	shut down	The agency shut down the reason.	stop_operating_or_functioning	wrong_shutdown_object	Program and reason are institutional-domain nouns; reason is not an operation that can be shut down.	88	minor_revision_needed	Strong candidate; check whether reason is too obviously wrong.
draft_016	rep_016	pv_038	come on	turn down	acceptable	acceptable	turned down	The board turned down the proposal.	refuse_or_reject_offer_request_opportunity	none	Proposal and evidence are decision-domain objects; evidence is normally excluded or dismissed, not turned down.	88	minor_revision_needed	Check legal/register acceptability of turn down evidence.
draft_016	rep_016	pv_038	come on	turn down	unacceptable	unacceptable	turned down	The board turned down the evidence.	refuse_or_reject_offer_request_opportunity	wrong_refusal_object	Proposal and evidence are decision-domain objects; evidence is normally excluded or dismissed, not turned down.	88	minor_revision_needed	Check legal/register acceptability of turn down evidence.
draft_017	rep_017	pv_039	come in	take over	acceptable	acceptable	took over	The deputy took over the project.	gain_control_or_responsibility	none	Project and advice are workplace-domain objects; advice cannot normally be taken over as responsibility.	90	production_candidate_after_native_review	Best current draft among replacements.
draft_017	rep_017	pv_039	come in	take over	unacceptable	unacceptable	took over	The deputy took over the advice.	gain_control_or_responsibility	wrong_control_object	Project and advice are workplace-domain objects; advice cannot normally be taken over as responsibility.	90	production_candidate_after_native_review	Best current draft among replacements.
