trial_order	list_id	item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	quality_status	review_score_100	revision_priority	pair_rationale	notes
11	B	cljt_001b	cljt_001	pv_001	break off	break off	unacceptable	unacceptable	broke off	The union broke off the proposal.	end talks or a relationship	same_domain_collocation_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet; Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
12	B	cljt_041b	cljt_041	pv_041	bring about	bring about	unacceptable	unacceptable	brought about	The reforms brought about evidence.	cause something to happen	causal_result_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.	v6 candidate: pre-audio expert review required; do not record yet; Causation sense can work in academic contexts if result nouns are controlled.
13	B	cljt_025a	cljt_025	pv_025	clean up	throw out	acceptable	acceptable	threw out	The committee threw out the weak proposal.	reject_or_refuse_to_consider	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
14	B	cljt_026a	cljt_026	pv_026	set out	set out	acceptable	acceptable	set out	The report set out the procedure.	present or explain clearly	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.	v6 candidate: pre-audio expert review required; do not record yet; Explain/present-clearly sense can work in report/policy contexts; literal laying-out/travel senses compete.
15	B	cljt_021b	cljt_021	pv_021	get down	pass on	unacceptable	unacceptable	passed on	The director passed on the client's silence.	communicate_or_circulate_information	wrong_information_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Message and silence are communication-domain nouns; only a message can normally be passed on.	replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
16	B	cljt_032a	cljt_032	pv_032	back up	back up	acceptable	acceptable	backed up	The data backed up the conclusion.	support with evidence	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.	v6 candidate: pre-audio expert review required; do not record yet; Evidence-support sense can work; computer copy/reverse senses must be suppressed.
17	B	cljt_003b	cljt_003	pv_003	give out	set up	unacceptable	unacceptable	set up	The agency set up a review finding.	establish_create_or_arrange	wrong_created_entity	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
18	B	cljt_012a	cljt_012	pv_012	pull back	pull back	acceptable	acceptable	pulled back	The investors pulled back from the project.	withdraw from an activity	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.	v6 candidate: pre-audio expert review required; do not record yet; Withdrawal sense can work if both conditions describe activities or commitments.
19	B	cljt_028a	cljt_028	pv_028	reach out	reach out	acceptable	acceptable	reached out	The nurse reached out to patients.	contact someone or offer help	none	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.	v6 candidate: pre-audio expert review required; do not record yet; Communication/help sense can work with human/institutional recipients.
20	B	cljt_010b	cljt_010	pv_010	come along	play out	unacceptable	unacceptable	played out	The verdict played out over two weeks.	develop or unfold over time	event_outcome_unfolding_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both nouns are legal-domain items; a trial unfolds over time, whereas a verdict is an outcome rather than the unfolding event.	multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
21	B	cljt_044a	cljt_044	pv_044	point out	point out	acceptable	acceptable	pointed out	The review pointed out the limitation.	draw attention to information	none	v6_retained_or_reserve	prelim_pass_native_review_required	81	minor_revision_before_pilot	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.	v6 candidate: pre-audio expert review required; do not record yet; Draw-attention sense is strong if both sentences keep human/author subjects.
22	B	cljt_004b	cljt_004	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
23	B	cljt_020b	cljt_020	pv_020	turn up	turn up	unacceptable	unacceptable	turned up	The witness turned up at testimony.	arrive or appear	appearance_location_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.	v6 candidate: pre-audio expert review required; do not record yet; Arrival sense can work, but turn up also means increase volume and be found.
24	B	cljt_002a	cljt_002	pv_002	hand over	hand over	acceptable	acceptable	handed over	The guard handed over the prisoner.	give control or possession to someone	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet; Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
25	B	cljt_006b	cljt_006	pv_006	sit back	take on	unacceptable	unacceptable	took on	The lawyer took on the difficult verdict.	undertake_role_task_or_responsibility	wrong_responsibility_object	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
26	B	cljt_005b	cljt_005	pv_005	take in	put off	unacceptable	unacceptable	put off	The board put off the final evidence.	delay_until_later	wrong_delay_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
27	B	cljt_009a	cljt_009	pv_009	get on	get on	acceptable	acceptable	got on	The passengers got on the train.	board a vehicle	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.	v6 candidate: pre-audio expert review required; do not record yet; Transport sense is clear, but unacceptable item must remain in transport context rather than object category.
28	B	cljt_018b	cljt_018	pv_018	pay off	pay off	unacceptable	unacceptable	paid off	The invoice paid off quickly.	become successful or beneficial	finance_domain_subject_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.	v6 candidate: pre-audio expert review required; do not record yet; Outcome-benefit sense can work if effort/investment and result are controlled.
29	B	cljt_027b	cljt_027	pv_027	break down	break down	unacceptable	unacceptable	broke down	The coach broke down the whistle.	divide into smaller parts	analysis_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.	v6 candidate: pre-audio expert review required; do not record yet; Analysis/decomposition sense can work with problem/task contexts; avoid physical failure sense.
30	B	cljt_048a	cljt_048	pv_048	work out	work out	acceptable	acceptable	worked out	The students worked out the equation.	find or calculate a solution	none	v6_retained_or_reserve	prelim_pass_native_review_required	85	native_review_then_pilot	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	v6 candidate: pre-audio expert review required; do not record yet; Solution/calculation sense is strong if both conditions involve problems or quantities.
31	B	cljt_030a	cljt_030	pv_030	put up	put up	acceptable	acceptable	put up	The bidder put up the required deposit.	provide money or security for a purpose	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects are procurement-domain requirements; a deposit can be put up as security, whereas an estimate is submitted or provided rather than put up in this sense.	multi-agent synthesis v1; replaces banner/brochure display pair because put up a brochure is plausibly acceptable; security-money sense improves C1 construct fit.
32	B	cljt_013b	cljt_013	pv_013	run out	run out	unacceptable	unacceptable	ran out	The lab ran out of findings.	use all of something	resource_depletion_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.	v6 candidate: pre-audio expert review required; do not record yet; Depletion can be tested with countable resources; avoid impossible object categories.
33	B	cljt_007b	cljt_007	pv_007	hold back	give in	unacceptable	unacceptable	gave in	The company gave in to public policy.	yield_to_demands_or_pressure	wrong_pressure_source	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
34	B	cljt_011b	cljt_011	pv_011	stand out	stand out	unacceptable	unacceptable	stood out	One essay stood out among pages.	be noticeable or impressive	comparison_set_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.	v6 candidate: pre-audio expert review required; do not record yet; Use comparison among same-class candidates; avoid odd comparison sets.
35	B	cljt_046a	cljt_046	pv_046	follow up	follow up	acceptable	acceptable	followed up	The doctor followed up after the treatment.	take further action after something	none	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.	v6 candidate: pre-audio expert review required; do not record yet; Further-action sense can work with medical/research follow-up contexts.
36	B	cljt_014a	cljt_014	pv_014	turn over	turn over	acceptable	acceptable	turned over	The clerk turned over the records to police.	give control or possession to an authority	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.	v6 candidate: pre-audio expert review required; do not record yet; Authority-transfer sense can work, but literal turning-over sense must be suppressed.
37	B	cljt_040a	cljt_040	pv_040	come out	come out	acceptable	acceptable	came out	The senator came out against the proposal.	publicly declare a position	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects belong to public-hearing or policy discourse; a proposal is a stance target one can come out against, whereas evidence is normally challenged or disputed, not opposed through this come-out-against frame.	multi-agent synthesis v1; replaces reveal-sense secret/witness pair because person subjects invite literal/social readings; stance frame makes the target sense clearer.
38	B	cljt_017b	cljt_017	pv_017	make out	sort out	unacceptable	unacceptable	sorted out	The mediator sorted out the scheduling forecast.	resolve_problem_or_understand_cause	wrong_problem_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
39	B	cljt_045b	cljt_045	pv_045	sum up	sum up	unacceptable	unacceptable	summed up	The abstract summed up the heading.	summarize the main points	summary_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.	v6 candidate: pre-audio expert review required; do not record yet; Summarize-content sense is strong if both conditions use text/content objects.
40	B	cljt_043b	cljt_043	pv_043	rule out	rule out	unacceptable	unacceptable	ruled out	The doctor ruled out symptoms.	exclude a possibility	diagnostic_possibility_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.	v6 candidate: pre-audio expert review required; do not record yet; Exclude-possibility sense is a strong academic candidate with manageable near-misses.
41	B	cljt_035a	cljt_035	pv_035	look back	fill in	acceptable	acceptable	filled in	The consultant filled in for the project chair.	act as a temporary substitute for someone	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both complements are project-governance nouns; a chair is a role/person one can temporarily replace, whereas a meeting is an event rather than the person or role substituted for.	multi-agent synthesis v1; replaces fill someone in on X frame because almost any topic can fit that frame; substitute-for sense gives cleaner acceptability contrast.
42	B	cljt_008b	cljt_008	pv_008	move up	move up	unacceptable	unacceptable	moved up	The team moved up to last place.	advance to a higher position	directional_hierarchy_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
43	B	cljt_016a	cljt_016	pv_016	take back	take back	acceptable	acceptable	took back	The team took back the lead.	regain control or possession	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.	v6 candidate: pre-audio expert review required; do not record yet; Use regain-control contexts; current acceptable sentence also needs rewriting.
44	B	cljt_036a	cljt_036	pv_036	go up	hold up	acceptable	acceptable	held up	The appeal held up the construction permit.	delay progress or completion	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects are construction-administration nouns; a permit process can be delayed by an appeal, whereas a blueprint is a document, not the progress point being held up.	multi-agent synthesis v1; replaces payment/receipt pair because receipt can also be delayed; appeal subject suppresses literal holding-up readings.
45	B	cljt_031b	cljt_031	pv_031	turn around	turn around	unacceptable	unacceptable	turned around	The coach turned around the defeat.	make something successful after problems	improvement_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.	v6 candidate: pre-audio expert review required; do not record yet; Improvement-after-problems sense can work with teams/companies if outcome words are controlled.
46	B	cljt_047b	cljt_047	pv_047	lay out	lay out	unacceptable	unacceptable	laid out	The diagram laid out the footnote.	present or arrange clearly	information_organization_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.	v6 candidate: pre-audio expert review required; do not record yet; Present/organize-information sense is strong, but literal arrangement sense must be avoided.
47	B	cljt_022a	cljt_022	pv_022	cut off	cut off	acceptable	acceptable	cut off	The lender cut off the credit line.	stop providing a supply, service, or access	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are finance-domain credit nouns; a credit line is an access/resource that can be stopped, whereas a credit rating is an evaluation rather than a supply.	multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
48	B	cljt_039a	cljt_039	pv_039	come in	take over	acceptable	acceptable	took over	The deputy took over the project.	gain_control_or_responsibility	none	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Project and advice are workplace-domain objects; advice cannot normally be taken over as responsibility.	replaces pv_039 come in; candidate_id=rep_017; original_v6_action=replace_or_rewrite; Best current draft among replacements.
