trial_order	list_id	item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	quality_status	review_score_100	revision_priority	pair_rationale	notes
31	A	cljt_034a	cljt_034	pv_034	take out	take out	acceptable	acceptable	took out	The client took out a mortgage.	obtain an official service or document	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.	v6 candidate: pre-audio expert review required; do not record yet; Official-service sense can work with loans/policies; remove-from-container and social-date senses compete.
32	A	cljt_041a	cljt_041	pv_041	bring about	bring about	acceptable	acceptable	brought about	The reforms brought about change.	cause something to happen	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.	v6 candidate: pre-audio expert review required; do not record yet; Causation sense can work in academic contexts if result nouns are controlled.
33	A	cljt_005a	cljt_005	pv_005	take in	put off	acceptable	acceptable	put off	The board put off the final vote.	delay_until_later	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
34	A	cljt_019b	cljt_019	pv_019	get off	get off	unacceptable	unacceptable	got off	The passengers got off the terminal.	leave a vehicle	transport_anchor_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.	v6 candidate: pre-audio expert review required; do not record yet; Vehicle-leaving sense can work in travel contexts; avoid broad non-vehicle objects.
35	A	cljt_037b	cljt_037	pv_037	go down	shut down	unacceptable	unacceptable	shut down	The agency shut down the reason.	stop_operating_or_functioning	wrong_shutdown_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Program and reason are institutional-domain nouns; only the program is an operation that can be shut down.	replaces pv_037 go down; candidate_id=rep_015; original_v6_action=replace_or_rewrite; Strong candidate; check whether reason is too obviously wrong.
36	A	cljt_018a	cljt_018	pv_018	pay off	pay off	acceptable	acceptable	paid off	The investment paid off quickly.	become successful or beneficial	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.	v6 candidate: pre-audio expert review required; do not record yet; Outcome-benefit sense can work if effort/investment and result are controlled.
37	A	cljt_002b	cljt_002	pv_002	hand over	hand over	unacceptable	unacceptable	handed over	The guard handed over the arrest.	give control or possession to someone	same_domain_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.	v6 candidate: pre-audio expert review required; do not record yet; Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
38	A	cljt_017a	cljt_017	pv_017	make out	sort out	acceptable	acceptable	sorted out	The mediator sorted out the scheduling conflict.	resolve_problem_or_understand_cause	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	replaces pv_017 make out; candidate_id=rep_007; original_v6_action=drop; Keep target sense as resolve_problem, not understand_cause.
39	A	cljt_007a	cljt_007	pv_007	hold back	give in	acceptable	acceptable	gave in	The company gave in to public pressure.	yield_to_demands_or_pressure	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
40	A	cljt_008a	cljt_008	pv_008	move up	move up	acceptable	acceptable	moved up	The team moved up to first place.	advance to a higher position	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
41	A	cljt_035b	cljt_035	pv_035	look back	fill in	unacceptable	unacceptable	filled in	The consultant filled in for the project meeting.	act as a temporary substitute for someone	substitution_role_object_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both complements are project-governance nouns; a chair is a role/person one can temporarily replace, whereas a meeting is an event rather than the person or role substituted for.	multi-agent synthesis v1; replaces fill someone in on X frame because almost any topic can fit that frame; substitute-for sense gives cleaner acceptability contrast.
42	A	cljt_026b	cljt_026	pv_026	set out	set out	unacceptable	unacceptable	set out	The report set out the appendix.	present or explain clearly	document_content_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.	v6 candidate: pre-audio expert review required; do not record yet; Explain/present-clearly sense can work in report/policy contexts; literal laying-out/travel senses compete.
43	A	cljt_029b	cljt_029	pv_029	keep up	set off	unacceptable	unacceptable	set off	The comment set off a heated summary.	cause_event_or_reaction_to_start	wrong_triggered_event	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Debate and summary are discourse-domain products; only debate is an event/reaction that can be triggered.	replaces pv_029 keep up; candidate_id=rep_028; original_v6_action=replace_or_rewrite; Summary is a document/product cue; consider replacing with dispute in review.
44	A	cljt_027a	cljt_027	pv_027	break down	break down	acceptable	acceptable	broke down	The coach broke down the play.	divide into smaller parts	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.	v6 candidate: pre-audio expert review required; do not record yet; Analysis/decomposition sense can work with problem/task contexts; avoid physical failure sense.
45	A	cljt_021a	cljt_021	pv_021	get down	pass on	acceptable	acceptable	passed on	The director passed on the client's message.	communicate_or_circulate_information	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Message and silence are communication-domain nouns; only a message can normally be passed on.	replaces pv_021 get down; candidate_id=rep_027; original_v6_action=replace_or_rewrite; Silence may be too easy as a non-transferable object; native review needed.
46	A	cljt_016b	cljt_016	pv_016	take back	take back	unacceptable	unacceptable	took back	The team took back the loss.	regain control or possession	regain_control_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.	v6 candidate: pre-audio expert review required; do not record yet; Use regain-control contexts; current acceptable sentence also needs rewriting.
47	A	cljt_039b	cljt_039	pv_039	come in	take over	unacceptable	unacceptable	took over	The deputy took over the advice.	gain_control_or_responsibility	wrong_control_object	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Project and advice are workplace-domain objects; advice cannot normally be taken over as responsibility.	replaces pv_039 come in; candidate_id=rep_017; original_v6_action=replace_or_rewrite; Best current draft among replacements.
48	A	cljt_010a	cljt_010	pv_010	come along	play out	acceptable	acceptable	played out	The trial played out over two weeks.	develop or unfold over time	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	Both nouns are legal-domain items; a trial unfolds over time, whereas a verdict is an outcome rather than the unfolding event.	multi-agent synthesis v1; revises earlier negotiations/agreement pair because agreement could plausibly play out in public; legal time-frame suppresses exhausted/literal readings.
